net_short_position,isin,position_date,position_holder,issuer_name,source
1.96,NL0012817175,2026-04-27,"WorldQuant, LLC",Alfen N.V.,current
0.57,NL0012969182,2026-04-24,Capital Fund Management S.A.,Adyen N.V.,current
0.7,NL0000379121,2026-04-24,Citadel Advisors LLC,Randstad N.V.,current
2.06,NL00150003E1,2026-04-24,JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,current
0.82,NL0011872650,2026-04-24,Linden Advisors LP,Basic-Fit N.V.,current
0.61,NL0010801007,2026-04-24,Marshall Wace LLP,IMCD N.V.,current
1.04,NL0015002MS2,2026-04-24,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
1.11,JE00BRX98089,2026-04-24,Qube Research & Technologies Ltd.,CVC Capital Partners plc,current
1.12,CY0200751713,2026-04-24,Qube Research & Technologies Ltd.,Theon International Plc,current
0.79,NL0006237562,2026-04-24,Squarepoint Ops LLC,ARCADIS N.V.,current
2.08,NL0012817175,2026-04-24,"WorldQuant, LLC",Alfen N.V.,current
0.6,NL0012969182,2026-04-23,Capital Fund Management S.A.,Adyen N.V.,current
1.68,NL0011821392,2026-04-23,Citadel Advisors LLC,Signify N.V.,current
0.8,NL0000817179,2026-04-23,Citadel Advisors LLC,Sligro Food Group N.V.,current
0.84,NL0011872650,2026-04-23,Eleva Capital SAS,Basic-Fit N.V.,current
0.58,NL0000379121,2026-04-23,Marshall Wace LLP,Randstad N.V.,current
1.11,NL0015002MS2,2026-04-23,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
0.5,NL0012817175,2026-04-23,Squarepoint Ops LLC,Alfen N.V.,current
2.21,NL0012817175,2026-04-23,"WorldQuant, LLC",Alfen N.V.,current
0.77,NL0010391025,2026-04-22,Capstone Volatility Master (Cayman) Limited,Pharming Group N.V.,current
0.62,NL0010801007,2026-04-22,Citadel Advisors LLC,IMCD N.V.,current
0.66,NL0000379121,2026-04-22,Citadel Advisors LLC,Randstad N.V.,current
1.71,NL0011821392,2026-04-22,Citadel Advisors LLC,Signify N.V.,current
0.68,NL0000289213,2026-04-22,Citadel Advisors LLC,Wereldhave N.V.,current
1.55,NL0013267909,2026-04-22,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,current
1.73,NL00150003E1,2026-04-22,JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,current
0.56,NL0010801007,2026-04-22,Marshall Wace LLP,IMCD N.V.,current
1.76,NL0011821392,2026-04-22,Marshall Wace LLP,Signify N.V.,current
1.09,NL0015002MS2,2026-04-22,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
1.29,NL0012817175,2026-04-22,Voleon Capital Management LP,Alfen N.V.,current
2.37,NL0012817175,2026-04-22,"WorldQuant, LLC",Alfen N.V.,current
1.3,NL0012969182,2026-04-21,"AQR Capital Management, LLC",Adyen N.V.,current
0.5,NL0011821392,2026-04-21,"BlackRock Advisors, LLC",Signify N.V.,current
0.91,NL0011821392,2026-04-21,Canada Pension Plan Investment Board,Signify N.V.,current
0.57,NL0012969182,2026-04-21,Capital Fund Management S.A.,Adyen N.V.,current
1.82,NL0011821392,2026-04-21,Citadel Advisors LLC,Signify N.V.,current
0.7,NL0000289213,2026-04-21,Citadel Advisors LLC,Wereldhave N.V.,current
0.65,NL0013267909,2026-04-21,"Empyrean Capital Overseas Master Fund, Ltd",Akzo Nobel N.V.,current
1.56,NL00150003E1,2026-04-21,JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,current
0.67,NL0000379121,2026-04-21,Marshall Wace LLP,Randstad N.V.,current
0.57,NL0013267909,2026-04-21,Millennium International Management LP,Akzo Nobel N.V.,current
0.88,NL0011821392,2026-04-21,"PDT Partners, LLC",Signify N.V.,current
1.03,CY0200751713,2026-04-21,Qube Research & Technologies Ltd.,Theon International Plc,current
1.48,NL0012817175,2026-04-21,Voleon Capital Management LP,Alfen N.V.,current
0.61,NL0006237562,2026-04-21,White Creek Capital LLP,ARCADIS N.V.,current
2.54,NL0012817175,2026-04-21,"WorldQuant, LLC",Alfen N.V.,current
1.29,NL0012969182,2026-04-20,"AQR Capital Management, LLC",Adyen N.V.,current
0.87,NL0011821392,2026-04-20,Canada Pension Plan Investment Board,Signify N.V.,current
