net_short_position,isin,position_date,position_holder,issuer_name,source
0.61,NL0000888691,2025-02-10,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
0.69,NL0010558797,2025-02-10,Citadel Advisors LLC,OCI N.V.,archive
0.55,NL0013332471,2025-02-10,Otus Capital Management Ltd.,TomTom N.V.,archive
0.44,LU1598757687,2025-02-07,Capital Fund Management S.A.,ArcelorMittal S.A.,archive
0.48,LU1598757687,2025-02-07,Citadel Advisors LLC,ArcelorMittal S.A.,archive
0.88,NL0000888691,2025-02-07,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,archive
0.97,NL0010391025,2025-02-07,"D. E. Shaw & Co., L.P.",Pharming Group N.V.,archive
1.18,NL0010558797,2025-02-07,Marshall Wace LLP,OCI N.V.,archive
0.69,NL0000852523,2025-02-07,Marshall Wace LLP,TKH Group N.V.,archive
0.6,NL0012817175,2025-02-07,Millennium Capital Partners LLP,Alfen N.V.,archive
1.02,LU0569974404,2025-02-07,Millennium Capital Partners LLP,Aperam S.A.,archive
0.68,LU0569974404,2025-02-07,Millennium International Management LP,Aperam S.A.,archive
0.69,NL0000888691,2025-02-07,"PDT Partners, LLC",AMG Critical Materials N.V.,archive
0.52,LU1598757687,2025-02-06,Capital Fund Management S.A.,ArcelorMittal S.A.,archive
0.51,LU1598757687,2025-02-06,Citadel Advisors LLC,ArcelorMittal S.A.,archive
0.82,NL00150003E1,2025-02-06,Marshall Wace LLP,Fugro N.V.,archive
0.57,NL0000009082,2025-02-06,Marshall Wace LLP,Koninklijke KPN N.V.,archive
0.71,NL0013332471,2025-02-06,Otus Capital Management Ltd.,TomTom N.V.,archive
0.47,NL0009739416,2025-02-06,"WorldQuant, LLC",PostNL N.V.,archive
0.52,NL0011794037,2025-02-05,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,archive
1.92,NL0012817175,2025-02-05,"PDT Partners, LLC",Alfen N.V.,archive
0.48,BE0003818359,2025-02-05,"WorldQuant, LLC",Galapagos NV,archive
1.03,NL0000888691,2025-02-04,Acadian Asset Management LLC.,AMG Critical Materials N.V.,archive
0.79,NL0011872643,2025-02-04,"AQR Capital Management, LLC",ASR Nederland N.V.,archive
0.93,NL0012866412,2025-02-04,Canada Pension Plan Investment Board,BE Semiconductor Industries N.V.,archive
0.58,NL0000888691,2025-02-04,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
0.62,NL00150003E1,2025-02-04,Marshall Wace LLP,Fugro N.V.,archive
0.5,BE0003818359,2025-02-04,Marshall Wace LLP,Galapagos NV,archive
0.49,NL0011821392,2025-02-04,Mirabella Financial Services LLP,Signify N.V.,archive
0.5,NL0010776944,2025-02-04,Numeric Investors LLC,Brunel International N.V.,archive
0.89,NL0013332471,2025-02-04,Otus Capital Management Ltd.,TomTom N.V.,archive
0.47,LU1598757687,2025-02-03,Citadel Advisors LLC,ArcelorMittal S.A.,archive
0.79,NL0010558797,2025-02-03,Citadel Advisors LLC,OCI N.V.,archive
0.51,NL0011821392,2025-02-03,Mirabella Financial Services LLP,Signify N.V.,archive
0.79,NL0000888691,2025-02-03,"PDT Partners, LLC",AMG Critical Materials N.V.,archive
0.5,NL0000852523,2025-02-03,Qube Research & Technologies Ltd.,TKH Group N.V.,archive
0.92,NL0000888691,2025-01-31,Acadian Asset Management LLC.,AMG Critical Materials N.V.,archive
0.59,NL0000888691,2025-01-31,"AQR Capital Management, LLC",AMG Critical Materials N.V.,archive
0.7,NL0006237562,2025-01-31,Boldhaven Management LLP,ARCADIS N.V.,archive
0.89,NL0012866412,2025-01-31,Canada Pension Plan Investment Board,BE Semiconductor Industries N.V.,archive
0.5,NL00150003E1,2025-01-31,Marshall Wace LLP,Fugro N.V.,archive
0.8,LU2290522684,2025-01-31,Marshall Wace LLP,InPost S.A.,archive
1.89,NL0012817175,2025-01-31,"PDT Partners, LLC",Alfen N.V.,archive
0.87,NL0000888691,2025-01-30,Acadian Asset Management LLC.,AMG Critical Materials N.V.,archive
0.6,NL0000888691,2025-01-30,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
0.68,NL0000009082,2025-01-30,Marshall Wace LLP,Koninklijke KPN N.V.,archive
0.79,NL0000852523,2025-01-30,Marshall Wace LLP,TKH Group N.V.,archive
0.5,NL0012817175,2025-01-30,Millennium Capital Partners LLP,Alfen N.V.,archive
0.49,NL0011821392,2025-01-30,Mirabella Financial Services LLP,Signify N.V.,archive
0.8,NL0000379121,2025-01-29,AKO Capital LLP,Randstad N.V.,archive
0.59,LU1598757687,2025-01-29,Citadel Advisors LLC,ArcelorMittal S.A.,archive
0.89,NL0010558797,2025-01-29,Citadel Advisors LLC,OCI N.V.,archive
0.57,NL00150002Q7,2025-01-29,Citadel Securities (Europe) Limited,Vivoryon Therapeutics N.V.,archive
0.47,NL0013267909,2025-01-29,Marshall Wace LLP,Akzo Nobel N.V.,archive
0.48,NL0011794037,2025-01-29,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,archive
1.29,NL0010558797,2025-01-29,Marshall Wace LLP,OCI N.V.,archive
0.9,LU0569974404,2025-01-29,Millennium Capital Partners LLP,Aperam S.A.,archive
0.51,BE0003818359,2025-01-29,"WorldQuant, LLC",Galapagos NV,archive
0.9,NL0012866412,2025-01-28,Canada Pension Plan Investment Board,BE Semiconductor Industries N.V.,archive
0.48,NL0000888691,2025-01-28,Capital Fund Management S.A.,AMG Critical Materials N.V.,archive
0.46,NL0000888691,2025-01-28,Marshall Wace LLP,AMG Critical Materials N.V.,archive
0.74,NL0000009082,2025-01-28,Marshall Wace LLP,Koninklijke KPN N.V.,archive
0.47,NL0012817175,2025-01-28,Millennium Capital Partners LLP,Alfen N.V.,archive
0.79,LU0569974404,2025-01-28,Millennium International Management LP,Aperam S.A.,archive
1.97,NL0012817175,2025-01-28,"PDT Partners, LLC",Alfen N.V.,archive
0.88,NL0000888691,2025-01-28,"PDT Partners, LLC",AMG Critical Materials N.V.,archive
0.78,NL0000888691,2025-01-27,Acadian Asset Management LLC.,AMG Critical Materials N.V.,archive
0.53,NL0012817175,2025-01-27,"Arrowstreet Capital, Limited Partnership",Alfen N.V.,archive
0.89,NL0012866412,2025-01-27,Canada Pension Plan Investment Board,BE Semiconductor Industries N.V.,archive
1.09,NL0010391025,2025-01-24,"Arrowstreet Capital, Limited Partnership",Pharming Group N.V.,archive
1.02,NL0012866412,2025-01-24,Canada Pension Plan Investment Board,BE Semiconductor Industries N.V.,archive
0.58,NL0000888691,2025-01-24,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
0.62,NL00150002Q7,2025-01-24,Citadel Securities (Europe) Limited,Vivoryon Therapeutics N.V.,archive
0.49,NL0000888691,2025-01-24,Teacher Retirement System of Texas,AMG Critical Materials N.V.,archive
0.47,NL0012866412,2025-01-24,"WorldQuant, LLC",BE Semiconductor Industries N.V.,archive
0.71,NL00150002Q7,2025-01-23,Citadel Securities (Europe) Limited,Vivoryon Therapeutics N.V.,archive
0.91,NL0000888691,2025-01-23,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,archive
1.39,NL0010558797,2025-01-23,Marshall Wace LLP,OCI N.V.,archive
0.89,LU0569974404,2025-01-23,Millennium Capital Partners LLP,Aperam S.A.,archive
0.88,LU0569974404,2025-01-23,Millennium International Management LP,Aperam S.A.,archive
2.2,NL0012817175,2025-01-23,"PDT Partners, LLC",Alfen N.V.,archive
0.68,NL0012817175,2025-01-22,"Arrowstreet Capital, Limited Partnership",Alfen N.V.,archive
0.54,NL0000888691,2025-01-22,Capital Fund Management S.A.,AMG Critical Materials N.V.,archive
0.63,NL0000888691,2025-01-22,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
0.67,NL00150002Q7,2025-01-22,Citadel Securities (Europe) Limited,Vivoryon Therapeutics N.V.,archive
0.84,NL0000888691,2025-01-22,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,archive
0.93,LU0569974404,2025-01-22,Millennium Capital Partners LLP,Aperam S.A.,archive
0.95,NL0000888691,2025-01-22,"PDT Partners, LLC",AMG Critical Materials N.V.,archive
1.61,NL0012047823,2025-01-22,Qube Research & Technologies Ltd.,Avantium N.V.,archive
0.99,NL0010558797,2025-01-21,Citadel Advisors LLC,OCI N.V.,archive
0.59,NL0000888691,2025-01-21,Marshall Wace LLP,AMG Critical Materials N.V.,archive
0.7,LU2290522684,2025-01-21,Marshall Wace LLP,InPost S.A.,archive
3.08,NL0010391025,2025-01-21,Millennium International Management LP,Pharming Group N.V.,archive
0.01,NL0012817175,2025-01-21,Qube Research & Technologies Ltd.,Alfen N.V.,archive
0.03,NL0000888691,2025-01-21,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,archive
0.01,LU0569974404,2025-01-21,Qube Research & Technologies Ltd.,Aperam S.A.,archive
0.01,NL0011872650,2025-01-21,Qube Research & Technologies Ltd.,Basic-Fit N.V.,archive
0.0,BMG3602E1084,2025-01-21,Qube Research & Technologies Ltd.,Flow Traders Ltd.,archive
0.0,NL0010391025,2025-01-21,Qube Research & Technologies Ltd.,Pharming Group N.V.,archive
0.05,NL0009739416,2025-01-21,Qube Research & Technologies Ltd.,PostNL N.V.,archive
0.0,NL0013332471,2025-01-21,Qube Research & Technologies Ltd.,TomTom N.V.,archive
0.57,NL0012866412,2025-01-21,"WorldQuant, LLC",BE Semiconductor Industries N.V.,archive
0.47,NL0011821392,2025-01-20,AKO Capital LLP,Signify N.V.,archive
0.5,NL0009739416,2025-01-20,"D. E. Shaw & Co., L.P.",PostNL N.V.,archive
0.59,NL0013267909,2025-01-20,Marshall Wace LLP,Akzo Nobel N.V.,archive
0.5,NL0011794037,2025-01-20,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,archive
0.51,NL0012817175,2025-01-20,Millennium Capital Partners LLP,Alfen N.V.,archive
0.56,NL0009739416,2025-01-20,"PDT Partners, LLC",PostNL N.V.,archive
0.93,BMG3602E1084,2025-01-20,Qube Research & Technologies Ltd.,Flow Traders Ltd.,archive
1.8,NL0009739416,2025-01-20,Qube Research & Technologies Ltd.,PostNL N.V.,archive
0.85,NL0012817175,2025-01-20,Spark Investment Management LLC,Alfen N.V.,archive
0.6,NL0012866412,2025-01-20,"WorldQuant, LLC",BE Semiconductor Industries N.V.,archive
0.9,NL0012817175,2025-01-17,"D. E. Shaw & Co., L.P.",Alfen N.V.,archive
0.68,NL0000888691,2025-01-17,Marshall Wace LLP,AMG Critical Materials N.V.,archive
0.88,NL0000009082,2025-01-17,Marshall Wace LLP,Koninklijke KPN N.V.,archive
2.1,NL0012817175,2025-01-17,"PDT Partners, LLC",Alfen N.V.,archive
1.08,NL0012817175,2025-01-17,Qube Research & Technologies Ltd.,Alfen N.V.,archive
1.84,NL0000888691,2025-01-17,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,archive
0.59,NL0012866412,2025-01-17,"WorldQuant, LLC",BE Semiconductor Industries N.V.,archive
0.55,NL0011821392,2025-01-16,AKO Capital LLP,Signify N.V.,archive
0.44,NL0000888691,2025-01-16,Capital Fund Management S.A.,AMG Critical Materials N.V.,archive
0.68,LU1598757687,2025-01-16,Citadel Advisors LLC,ArcelorMittal S.A.,archive
0.49,NL0011794037,2025-01-16,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,archive
1.08,LU0569974404,2025-01-16,Millennium Capital Partners LLP,Aperam S.A.,archive
1.16,NL0012817175,2025-01-16,Qube Research & Technologies Ltd.,Alfen N.V.,archive
1.0,BE0003818359,2025-01-16,Qube Research & Technologies Ltd.,Galapagos NV,archive
0.93,NL0012747059,2025-01-16,TFG Asset Management UK LLP,CM.com N.V.,archive
0.85,NL0000888691,2025-01-15,Actus Ray Partners Limited,AMG Critical Materials N.V.,archive
0.77,NL0012817175,2025-01-15,"Arrowstreet Capital, Limited Partnership",Alfen N.V.,archive
0.49,NL0011794037,2025-01-15,Ilex Capital Partners (UK) LLP,Koninklijke Ahold Delhaize N.V.,archive
0.66,NL0013267909,2025-01-15,Marshall Wace LLP,Akzo Nobel N.V.,archive
0.74,NL0000888691,2025-01-15,Marshall Wace LLP,AMG Critical Materials N.V.,archive
1.49,NL0010558797,2025-01-15,Marshall Wace LLP,OCI N.V.,archive
1.26,NL0012817175,2025-01-15,Qube Research & Technologies Ltd.,Alfen N.V.,archive
1.75,NL0000888691,2025-01-15,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,archive
0.88,BMG3602E1084,2025-01-15,Qube Research & Technologies Ltd.,Flow Traders Ltd.,archive
1.0,NL0010391025,2025-01-15,Qube Research & Technologies Ltd.,Pharming Group N.V.,archive
0.59,NL0000888691,2025-01-14,Capital Fund Management S.A.,AMG Critical Materials N.V.,archive
0.79,NL00150002Q7,2025-01-14,Citadel Securities (Europe) Limited,Vivoryon Therapeutics N.V.,archive
0.69,NL0000888691,2025-01-14,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,archive
0.98,NL0000009082,2025-01-14,Marshall Wace LLP,Koninklijke KPN N.V.,archive
0.89,NL0000852523,2025-01-14,Marshall Wace LLP,TKH Group N.V.,archive
0.48,NL0012817175,2025-01-14,Millennium Capital Partners LLP,Alfen N.V.,archive
0.51,NL0011821392,2025-01-14,Mirabella Financial Services LLP,Signify N.V.,archive
1.42,NL0012817175,2025-01-14,Qube Research & Technologies Ltd.,Alfen N.V.,archive
1.87,NL0000888691,2025-01-14,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,archive
0.75,NL0012817175,2025-01-14,Spark Investment Management LLC,Alfen N.V.,archive
0.6,NL0012866412,2025-01-14,"WorldQuant, LLC",BE Semiconductor Industries N.V.,archive
0.91,NL0000888691,2025-01-13,Actus Ray Partners Limited,AMG Critical Materials N.V.,archive
0.6,NL00150002Q7,2025-01-13,Citadel Securities (Europe) Limited,Vivoryon Therapeutics N.V.,archive
0.6,LU2290522684,2025-01-13,Marshall Wace LLP,InPost S.A.,archive
1.36,NL0012817175,2025-01-13,Qube Research & Technologies Ltd.,Alfen N.V.,archive
0.9,BE0003818359,2025-01-13,Qube Research & Technologies Ltd.,Galapagos NV,archive
1.61,NL0009739416,2025-01-13,Qube Research & Technologies Ltd.,PostNL N.V.,archive
0.91,NL0012866412,2025-01-11,Canada Pension Plan Investment Board,BE Semiconductor Industries N.V.,archive
0.8,NL0011872643,2025-01-10,"AQR Capital Management, LLC",ASR Nederland N.V.,archive
0.57,NL00150002Q7,2025-01-10,Citadel Securities (Europe) Limited,Vivoryon Therapeutics N.V.,archive
0.59,NL0011794037,2025-01-10,Ilex Capital Partners (UK) LLP,Koninklijke Ahold Delhaize N.V.,archive
0.88,NL0000888691,2025-01-10,Marshall Wace LLP,AMG Critical Materials N.V.,archive
1.24,NL0012817175,2025-01-10,Qube Research & Technologies Ltd.,Alfen N.V.,archive
0.86,BE0003818359,2025-01-10,Qube Research & Technologies Ltd.,Galapagos NV,archive
0.78,NL0013267909,2025-01-09,Marshall Wace LLP,Akzo Nobel N.V.,archive
0.58,NL0012817175,2025-01-09,Millennium Capital Partners LLP,Alfen N.V.,archive
1.14,NL0012817175,2025-01-09,Qube Research & Technologies Ltd.,Alfen N.V.,archive
0.61,NL0012817175,2025-01-09,Spark Investment Management LLC,Alfen N.V.,archive
0.7,NL0000379121,2025-01-08,AKO Capital LLP,Randstad N.V.,archive
0.78,LU1598757687,2025-01-08,Citadel Advisors LLC,ArcelorMittal S.A.,archive
0.8,NL0012817175,2025-01-08,"D. E. Shaw & Co., L.P.",Alfen N.V.,archive
0.71,NL0000888691,2025-01-08,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,archive
0.6,NL0011794037,2025-01-08,Ilex Capital Partners (UK) LLP,Koninklijke Ahold Delhaize N.V.,archive
0.96,NL0000888691,2025-01-08,Marshall Wace LLP,AMG Critical Materials N.V.,archive
0.99,LU0569974404,2025-01-08,Millennium International Management LP,Aperam S.A.,archive
3.15,NL0010391025,2025-01-08,Millennium International Management LP,Pharming Group N.V.,archive
0.98,NL0013332471,2025-01-08,Otus Capital Management Ltd.,TomTom N.V.,archive
2.01,NL0012817175,2025-01-08,"PDT Partners, LLC",Alfen N.V.,archive
1.08,NL0012817175,2025-01-08,Qube Research & Technologies Ltd.,Alfen N.V.,archive
0.49,NL0012817175,2025-01-07,"AQR Capital Management, LLC",Alfen N.V.,archive
0.88,NL0012817175,2025-01-07,"Arrowstreet Capital, Limited Partnership",Alfen N.V.,archive
1.19,BE0003818359,2025-01-07,"Arrowstreet Capital, Limited Partnership",Galapagos NV,archive
0.82,NL0012866412,2025-01-07,Canada Pension Plan Investment Board,BE Semiconductor Industries N.V.,archive
0.47,NL0012817175,2025-01-07,Citadel Advisors LLC,Alfen N.V.,archive
0.47,NL0012866412,2025-01-07,"Connor, Clark & Lunn Investment Management Ltd.",BE Semiconductor Industries N.V.,archive
3.22,NL0010391025,2025-01-07,Millennium International Management LP,Pharming Group N.V.,archive
1.16,NL0012817175,2025-01-07,Qube Research & Technologies Ltd.,Alfen N.V.,archive
0.69,NL0013332471,2025-01-07,Qube Research & Technologies Ltd.,TomTom N.V.,archive
0.52,NL0012817175,2025-01-07,Spark Investment Management LLC,Alfen N.V.,archive
0.5,NL0012817175,2025-01-06,"AQR Capital Management, LLC",Alfen N.V.,archive
0.54,NL0012817175,2025-01-06,Citadel Advisors LLC,Alfen N.V.,archive
0.83,LU1598757687,2025-01-06,Citadel Advisors LLC,ArcelorMittal S.A.,archive
0.68,NL0000888691,2025-01-06,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,archive
0.5,NL0010391025,2025-01-06,"D. E. Shaw & Co., L.P.",Pharming Group N.V.,archive
1.59,NL0010558797,2025-01-06,Marshall Wace LLP,OCI N.V.,archive
3.3,NL0010391025,2025-01-06,Millennium International Management LP,Pharming Group N.V.,archive
1.31,NL0012817175,2025-01-06,Qube Research & Technologies Ltd.,Alfen N.V.,archive
1.99,NL0000888691,2025-01-06,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,archive
0.62,LU0569974404,2025-01-06,Qube Research & Technologies Ltd.,Aperam S.A.,archive
0.96,NL0010391025,2025-01-06,Qube Research & Technologies Ltd.,Pharming Group N.V.,archive
0.6,NL0012817175,2025-01-03,Citadel Advisors LLC,Alfen N.V.,archive
0.79,LU1598757687,2025-01-03,Citadel Advisors LLC,ArcelorMittal S.A.,archive
3.2,NL0010391025,2025-01-03,Millennium International Management LP,Pharming Group N.V.,archive
1.6,NL0012817175,2025-01-03,Qube Research & Technologies Ltd.,Alfen N.V.,archive
0.59,LU0569974404,2025-01-03,Qube Research & Technologies Ltd.,Aperam S.A.,archive
0.79,NL0013332471,2025-01-03,Qube Research & Technologies Ltd.,TomTom N.V.,archive
0.59,NL0012866412,2025-01-03,"WorldQuant, LLC",BE Semiconductor Industries N.V.,archive
0.66,NL0000888691,2025-01-02,Capital Fund Management S.A.,AMG Critical Materials N.V.,archive
0.52,NL0012817175,2025-01-02,Citadel Advisors LLC,Alfen N.V.,archive
0.47,NL00150002Q7,2025-01-02,Citadel Securities (Europe) Limited,Vivoryon Therapeutics N.V.,archive
0.76,NL0000888691,2025-01-02,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,archive
0.49,NL0010558797,2025-01-02,"PDT Partners, LLC",OCI N.V.,archive
1.98,NL0012817175,2025-01-02,Qube Research & Technologies Ltd.,Alfen N.V.,archive
1.5,NL0012047823,2025-01-02,Qube Research & Technologies Ltd.,Avantium N.V.,archive
1.0,NL0010391025,2025-01-02,Qube Research & Technologies Ltd.,Pharming Group N.V.,archive
0.81,NL0013332471,2025-01-02,Qube Research & Technologies Ltd.,TomTom N.V.,archive
0.49,NL0011872650,2024-12-31,"Arrowstreet Capital, Limited Partnership",Basic-Fit N.V.,archive
3.1,NL0010391025,2024-12-31,Millennium International Management LP,Pharming Group N.V.,archive
0.5,NL0010801007,2024-12-30,"AQR Capital Management, LLC",IMCD N.V.,archive
0.45,NL0012817175,2024-12-30,Citadel Advisors LLC,Alfen N.V.,archive
0.81,LU1598757687,2024-12-30,Citadel Advisors LLC,ArcelorMittal S.A.,archive
1.09,NL0010558797,2024-12-30,Citadel Advisors LLC,OCI N.V.,archive
0.58,NL00150002Q7,2024-12-30,Citadel Securities (Europe) Limited,Vivoryon Therapeutics N.V.,archive
0.49,NL0010391025,2024-12-30,"D. E. Shaw & Co., L.P.",Pharming Group N.V.,archive
0.6,LU0569974404,2024-12-30,Qube Research & Technologies Ltd.,Aperam S.A.,archive
0.71,BE0003818359,2024-12-30,Qube Research & Technologies Ltd.,Galapagos NV,archive
0.81,NL0000888691,2024-12-27,Actus Ray Partners Limited,AMG Critical Materials N.V.,archive
0.51,NL0012817175,2024-12-27,Citadel Advisors LLC,Alfen N.V.,archive
0.61,NL00150002Q7,2024-12-27,Citadel Securities (Europe) Limited,Vivoryon Therapeutics N.V.,archive
0.77,NL0012817175,2024-12-27,"D. E. Shaw & Co., L.P.",Alfen N.V.,archive
1.08,NL0000888691,2024-12-27,Marshall Wace LLP,AMG Critical Materials N.V.,archive
1.65,NL0010558797,2024-12-27,Marshall Wace LLP,OCI N.V.,archive
0.78,NL0009739416,2024-12-27,Marshall Wace LLP,PostNL N.V.,archive
0.69,NL0012817175,2024-12-27,Millennium Capital Partners LLP,Alfen N.V.,archive
3.08,NL0010391025,2024-12-27,Millennium International Management LP,Pharming Group N.V.,archive
2.2,NL0012817175,2024-12-27,Qube Research & Technologies Ltd.,Alfen N.V.,archive
0.69,BE0003818359,2024-12-27,Qube Research & Technologies Ltd.,Galapagos NV,archive
0.96,NL0010391025,2024-12-27,Qube Research & Technologies Ltd.,Pharming Group N.V.,archive
0.68,NL0012866412,2024-12-27,"WorldQuant, LLC",BE Semiconductor Industries N.V.,archive
0.59,NL0009739416,2024-12-27,"WorldQuant, LLC",PostNL N.V.,archive
0.89,NL0000888691,2024-12-24,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,archive
0.6,NL0009739416,2024-12-24,GSA Capital Partners LLP,PostNL N.V.,archive
0.78,LU1598757687,2024-12-23,Citadel Advisors LLC,ArcelorMittal S.A.,archive
0.49,NL0013332471,2024-12-23,Citadel Advisors LLC,TomTom N.V.,archive
1.19,NL0000888691,2024-12-23,Marshall Wace LLP,AMG Critical Materials N.V.,archive
0.91,NL0000852523,2024-12-23,Marshall Wace LLP,TKH Group N.V.,archive
0.77,NL0012817175,2024-12-23,Millennium Capital Partners LLP,Alfen N.V.,archive
1.99,NL0012817175,2024-12-23,"PDT Partners, LLC",Alfen N.V.,archive
2.19,NL0000888691,2024-12-23,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,archive
0.58,LU0569974404,2024-12-23,Qube Research & Technologies Ltd.,Aperam S.A.,archive
1.0,NL0011872650,2024-12-23,Qube Research & Technologies Ltd.,Basic-Fit N.V.,archive
1.58,NL0009739416,2024-12-23,Qube Research & Technologies Ltd.,PostNL N.V.,archive
0.67,NL0000379121,2024-12-20,AKO Capital LLP,Randstad N.V.,archive
0.64,NL0011821392,2024-12-20,AKO Capital LLP,Signify N.V.,archive
0.7,NL0000888691,2024-12-20,Capital Fund Management S.A.,AMG Critical Materials N.V.,archive
1.11,NL0010558797,2024-12-20,Citadel Advisors LLC,OCI N.V.,archive
0.83,NL0012817175,2024-12-20,"D. E. Shaw & Co., L.P.",Alfen N.V.,archive
0.92,NL0000888691,2024-12-20,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,archive
1.71,NL0010558797,2024-12-20,Marshall Wace LLP,OCI N.V.,archive
0.42,NL0000888691,2024-12-20,Millennium International Management LP,AMG Critical Materials N.V.,archive
2.03,NL0012817175,2024-12-20,"PDT Partners, LLC",Alfen N.V.,archive
2.33,NL0012817175,2024-12-20,Qube Research & Technologies Ltd.,Alfen N.V.,archive
2.21,NL0000888691,2024-12-20,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,archive
1.41,NL0012047823,2024-12-20,Qube Research & Technologies Ltd.,Avantium N.V.,archive
0.99,BMG3602E1084,2024-12-20,Qube Research & Technologies Ltd.,Flow Traders Ltd.,archive
0.8,NL0010391025,2024-12-20,Qube Research & Technologies Ltd.,Pharming Group N.V.,archive
0.38,NL0000888691,2024-12-20,SIH Partners LLLP,AMG Critical Materials N.V.,archive
0.61,NL0000888691,2024-12-20,Teacher Retirement System of Texas,AMG Critical Materials N.V.,archive
0.6,NL0009739416,2024-12-20,"WorldQuant, LLC",PostNL N.V.,archive
1.2,BE0003818359,2024-12-19,"Arrowstreet Capital, Limited Partnership",Galapagos NV,archive
0.84,NL0000888691,2024-12-19,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,archive
0.8,NL0000852523,2024-12-19,Marshall Wace LLP,TKH Group N.V.,archive
1.94,NL0012817175,2024-12-19,Qube Research & Technologies Ltd.,Alfen N.V.,archive
0.71,BE0003818359,2024-12-19,Qube Research & Technologies Ltd.,Galapagos NV,archive
0.0,NL0006237562,2024-12-19,SIH Partners LLLP,ARCADIS N.V.,archive
0.59,NL0009739416,2024-12-19,"WorldQuant, LLC",PostNL N.V.,archive
0.84,NL0000888691,2024-12-18,Acadian Asset Management LLC.,AMG Critical Materials N.V.,archive
0.65,NL0012817175,2024-12-18,Citadel Advisors LLC,Alfen N.V.,archive
0.6,NL0012817175,2024-12-18,"D. E. Shaw & Co., L.P.",Alfen N.V.,archive
1.86,NL0012817175,2024-12-18,Qube Research & Technologies Ltd.,Alfen N.V.,archive
0.7,NL0013332471,2024-12-18,Qube Research & Technologies Ltd.,TomTom N.V.,archive
0.55,NL0006237562,2024-12-18,SIH Partners LLLP,ARCADIS N.V.,archive
0.6,NL0009739416,2024-12-18,"WorldQuant, LLC",PostNL N.V.,archive
0.7,NL0000888691,2024-12-17,Actus Ray Partners Limited,AMG Critical Materials N.V.,archive
0.6,BMG3602E1084,2024-12-17,Canada Pension Plan Investment Board,Flow Traders Ltd.,archive
0.8,LU1598757687,2024-12-17,Citadel Advisors LLC,ArcelorMittal S.A.,archive
1.02,NL0010558797,2024-12-17,Citadel Advisors LLC,OCI N.V.,archive
0.51,NL0010391025,2024-12-17,"D. E. Shaw & Co., L.P.",Pharming Group N.V.,archive
0.89,NL0012817175,2024-12-17,Millennium Capital Partners LLP,Alfen N.V.,archive
1.91,NL0012817175,2024-12-17,"PDT Partners, LLC",Alfen N.V.,archive
0.5,NL0010558797,2024-12-17,"PDT Partners, LLC",OCI N.V.,archive
1.73,NL0012817175,2024-12-17,Qube Research & Technologies Ltd.,Alfen N.V.,archive
2.18,NL0000888691,2024-12-17,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,archive
0.62,LU0569974404,2024-12-17,Qube Research & Technologies Ltd.,Aperam S.A.,archive
0.5,NL0000888691,2024-12-17,SIH Partners LLLP,AMG Critical Materials N.V.,archive
0.76,NL0000888691,2024-12-16,Acadian Asset Management LLC.,AMG Critical Materials N.V.,archive
0.62,NL0000888691,2024-12-16,Capital Fund Management S.A.,AMG Critical Materials N.V.,archive
0.79,NL0012817175,2024-12-16,Citadel Advisors LLC,Alfen N.V.,archive
0.75,LU1598757687,2024-12-16,Citadel Advisors LLC,ArcelorMittal S.A.,archive
0.78,NL0000888691,2024-12-16,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,archive
1.6,NL0012817175,2024-12-16,Qube Research & Technologies Ltd.,Alfen N.V.,archive
2.2,NL0000888691,2024-12-16,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,archive
1.6,NL0009739416,2024-12-16,Qube Research & Technologies Ltd.,PostNL N.V.,archive
0.63,LU1598757687,2024-12-13,Citadel Advisors LLC,ArcelorMittal S.A.,archive
0.5,LU2290522684,2024-12-13,Marshall Wace LLP,InPost S.A.,archive
