position_holder,net_short_position,position_date,issuer_name,isin,source
Highbridge Capital Management LLC,1.15,2024-08-12,Pharming Group N.V.,NL0010391025,archive
Marshall Wace LLP,1.77,2024-08-12,AMG Critical Materials N.V.,NL0000888691,archive
Marshall Wace LLP,0.8,2024-08-12,Koninklijke KPN N.V.,NL0000009082,archive
Marshall Wace LLP,1.0,2024-08-12,PostNL N.V.,NL0009739416,archive
"PDT Partners, LLC",1.31,2024-08-12,Alfen N.V.,NL0012817175,archive
"Cubist Systematic Strategies, LLC",0.53,2024-08-09,Alfen N.V.,NL0012817175,archive
JPMorgan Asset Management (UK) Ltd.,0.6,2024-08-09,Basic-Fit N.V.,NL0011872650,archive
Millennium Capital Partners LLP,1.73,2024-08-09,Alfen N.V.,NL0012817175,archive
Millennium International Management LP,1.7,2024-08-09,Pharming Group N.V.,NL0010391025,archive
Qube Research & Technologies Ltd.,1.01,2024-08-09,PostNL N.V.,NL0009739416,archive
"Arrowstreet Capital, Limited Partnership",0.49,2024-08-08,OCI N.V.,NL0010558797,archive
Canada Pension Plan Investment Board,0.45,2024-08-08,BE Semiconductor Industries N.V.,NL0012866412,archive
Citadel Advisors LLC,1.56,2024-08-08,Alfen N.V.,NL0012817175,archive
"D. E. Shaw & Co., L.P.",0.91,2024-08-08,AMG Critical Materials N.V.,NL0000888691,archive
JPMorgan Asset Management (UK) Ltd.,1.67,2024-08-08,TomTom N.V.,NL0013332471,archive
Marshall Wace LLP,0.49,2024-08-08,Koninklijke Philips N.V.,NL0000009538,archive
Marshall Wace LLP,0.93,2024-08-08,PostNL N.V.,NL0009739416,archive
Otus Capital Management Ltd.,0.73,2024-08-08,TomTom N.V.,NL0013332471,archive
"PDT Partners, LLC",1.2,2024-08-08,Alfen N.V.,NL0012817175,archive
BlackRock Investment Management (UK) Limited,1.69,2024-08-07,Basic-Fit N.V.,NL0011872650,archive
Capital Fund Management S.A.,0.65,2024-08-07,AMG Critical Materials N.V.,NL0000888691,archive
