net_short_position,issuer_name,position_holder,position_date,isin,source
1.29,Alfen N.V.,Voleon Capital Management LP,2026-04-22,NL0012817175,current
2.37,Alfen N.V.,"WorldQuant, LLC",2026-04-22,NL0012817175,current
1.3,Adyen N.V.,"AQR Capital Management, LLC",2026-04-21,NL0012969182,current
0.5,Signify N.V.,"BlackRock Advisors, LLC",2026-04-21,NL0011821392,current
0.91,Signify N.V.,Canada Pension Plan Investment Board,2026-04-21,NL0011821392,current
0.57,Adyen N.V.,Capital Fund Management S.A.,2026-04-21,NL0012969182,current
1.82,Signify N.V.,Citadel Advisors LLC,2026-04-21,NL0011821392,current
0.7,Wereldhave N.V.,Citadel Advisors LLC,2026-04-21,NL0000289213,current
0.65,Akzo Nobel N.V.,"Empyrean Capital Overseas Master Fund, Ltd",2026-04-21,NL0013267909,current
1.56,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2026-04-21,NL00150003E1,current
0.67,Randstad N.V.,Marshall Wace LLP,2026-04-21,NL0000379121,current
0.57,Akzo Nobel N.V.,Millennium International Management LP,2026-04-21,NL0013267909,current
0.88,Signify N.V.,"PDT Partners, LLC",2026-04-21,NL0011821392,current
1.03,Theon International Plc,Qube Research & Technologies Ltd.,2026-04-21,CY0200751713,current
1.48,Alfen N.V.,Voleon Capital Management LP,2026-04-21,NL0012817175,current
0.61,ARCADIS N.V.,White Creek Capital LLP,2026-04-21,NL0006237562,current
2.54,Alfen N.V.,"WorldQuant, LLC",2026-04-21,NL0012817175,current
1.29,Adyen N.V.,"AQR Capital Management, LLC",2026-04-20,NL0012969182,current
0.87,Signify N.V.,Canada Pension Plan Investment Board,2026-04-20,NL0011821392,current
2.0,Signify N.V.,Citadel Advisors LLC,2026-04-20,NL0011821392,current
1.06,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",2026-04-20,NL0011872650,current
1.45,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2026-04-20,NL00150003E1,current
0.7,Basic-Fit N.V.,Linden Advisors LP,2026-04-20,NL0011872650,current
1.16,Akzo Nobel N.V.,"O'Connor Alternative Investments, LLC",2026-04-20,NL0013267909,current
1.01,CVC Capital Partners plc,Qube Research & Technologies Ltd.,2026-04-20,JE00BRX98089,current
1.58,Alfen N.V.,Voleon Capital Management LP,2026-04-20,NL0012817175,current
0.57,ARCADIS N.V.,White Creek Capital LLP,2026-04-20,NL0006237562,current
2.67,Alfen N.V.,"WorldQuant, LLC",2026-04-20,NL0012817175,current
0.89,IMCD N.V.,"BlackRock Financial Management, Inc.",2026-04-17,NL0010801007,current
