net_short_position,issuer_name,position_holder,position_date,isin,source
0.64,Basic-Fit N.V.,CapeView Capital LLP,2022-11-14,NL0011872650,archive
0.44,BE Semiconductor Industries N.V.,Citadel Advisors LLC,2022-11-14,NL0012866412,archive
0.69,Koninklijke BAM Groep N.V.,Citadel Advisors LLC,2022-11-14,NL0000337319,archive
0.97,Wereldhave N.V.,Franklin Templeton Investment Management Limited,2022-11-14,NL0000289213,archive
0.67,PostNL N.V.,GSA Capital Partners LLP,2022-11-14,NL0009739416,archive
0.58,Unibail-Rodamco-Westfield SE,Kintbury Capital LLP,2022-11-14,FR0013326246,archive
1.46,Alfen N.V.,Marshall Wace LLP,2022-11-14,NL0012817175,archive
1.98,BE Semiconductor Industries N.V.,"Point72 Asset Management, L.P.",2022-11-14,NL0012866412,archive
0.49,PostNL N.V.,"WorldQuant, LLC",2022-11-14,NL0009739416,archive
1.42,Signify N.V.,AKO Capital LLP,2022-11-11,NL0011821392,archive
0.76,Basic-Fit N.V.,CapeView Capital LLP,2022-11-11,NL0011872650,archive
0.68,Basic-Fit N.V.,Citadel Advisors Europe Limited,2022-11-11,NL0011872650,archive
0.62,BE Semiconductor Industries N.V.,"Davidson Kempner European Partners, LLP",2022-11-11,NL0012866412,archive
0.83,PostNL N.V.,Eleva Capital SAS,2022-11-11,NL0009739416,archive
0.98,Wereldhave N.V.,Eleva Capital SAS,2022-11-11,NL0000289213,archive
1.01,Wereldhave N.V.,Franklin Templeton Investment Management Limited,2022-11-11,NL0000289213,archive
0.86,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,2022-11-11,NL0011872650,archive
0.68,Unibail-Rodamco-Westfield SE,Kintbury Capital LLP,2022-11-11,FR0013326246,archive
1.22,Alfen N.V.,Marshall Wace LLP,2022-11-11,NL0012817175,archive
0.65,ArcelorMittal S.A.,Marshall Wace LLP,2022-11-11,LU1598757687,archive
0.86,Koninklijke Philips N.V.,Marshall Wace LLP,2022-11-11,NL0000009538,archive
0.85,Unibail-Rodamco-Westfield SE,Marshall Wace LLP,2022-11-11,FR0013326246,archive
1.87,BE Semiconductor Industries N.V.,"Point72 Asset Management, L.P.",2022-11-11,NL0012866412,archive
0.66,AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2022-11-11,NL0000888691,archive
0.77,Koninklijke Heijmans N.V.,SIH Partners LLLP,2022-11-11,NL0009269109,archive
0.69,Flow Traders Ltd.,Voleon Capital Management LP,2022-11-11,NL0011279492,archive
0.82,Basic-Fit N.V.,CapeView Capital LLP,2022-11-10,NL0011872650,archive
0.58,BE Semiconductor Industries N.V.,Citadel Advisors LLC,2022-11-10,NL0012866412,archive
0.91,Pharming Group N.V.,Citadel Advisors LLC,2022-11-10,NL0010391025,archive
0.48,SBM Offshore N.V.,Marshall Wace Asia Limited,2022-11-10,NL0000360618,archive
0.7,ABN AMRO Bank NV,Marshall Wace LLP,2022-11-10,NL0011540547,archive
0.7,ArcelorMittal S.A.,Marshall Wace LLP,2022-11-10,LU1598757687,archive
1.3,Koninklijke BAM Groep N.V.,Marshall Wace LLP,2022-11-10,NL0000337319,archive
0.92,Koninklijke Philips N.V.,Marshall Wace LLP,2022-11-10,NL0000009538,archive
1.76,PostNL N.V.,Marshall Wace LLP,2022-11-10,NL0009739416,archive
0.62,PostNL N.V.,Millennium Capital Partners LLP,2022-11-10,NL0009739416,archive
1.77,BE Semiconductor Industries N.V.,"Point72 Asset Management, L.P.",2022-11-10,NL0012866412,archive
0.76,AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2022-11-10,NL0000888691,archive
0.45,Basic-Fit N.V.,SIH Partners LLLP,2022-11-10,NL0011872650,archive
0.85,Koninklijke Heijmans N.V.,SIH Partners LLLP,2022-11-10,NL0009269109,archive
0.61,AMG Critical Materials N.V.,Citadel Advisors LLC,2022-11-09,NL0000888691,archive
0.88,Pharming Group N.V.,Citadel Advisors LLC,2022-11-09,NL0010391025,archive
0.79,PostNL N.V.,GSA Capital Partners LLP,2022-11-09,NL0009739416,archive
0.68,ABN AMRO Bank NV,Marshall Wace LLP,2022-11-09,NL0011540547,archive
1.32,BE Semiconductor Industries N.V.,Millennium International Management LP,2022-11-09,NL0012866412,archive
1.64,BE Semiconductor Industries N.V.,"Point72 Asset Management, L.P.",2022-11-09,NL0012866412,archive
0.51,PostNL N.V.,Qube Research & Technologies Ltd.,2022-11-09,NL0009739416,archive
0.94,Koninklijke Heijmans N.V.,SIH Partners LLLP,2022-11-09,NL0009269109,archive
0.59,AMG Critical Materials N.V.,Systematica Investments Limited,2022-11-09,NL0000888691,archive
2.78,Wereldhave N.V.,"Woodson Capital Master Fund, LP",2022-11-09,NL0000289213,archive
0.49,Alfen N.V.,AHL Partners LLP,2022-11-08,NL0012817175,archive
0.49,ASML Holding N.V.,"Bridgewater Associates, LP",2022-11-08,NL0010273215,archive
0.48,ING Groep N.V.,"Bridgewater Associates, LP",2022-11-08,NL0011821202,archive
0.95,Basic-Fit N.V.,CapeView Capital LLP,2022-11-08,NL0011872650,archive
0.67,BE Semiconductor Industries N.V.,Citadel Advisors LLC,2022-11-08,NL0012866412,archive
0.7,Koninklijke BAM Groep N.V.,Citadel Advisors LLC,2022-11-08,NL0000337319,archive
0.68,ArcelorMittal S.A.,Marshall Wace LLP,2022-11-08,LU1598757687,archive
1.23,Koninklijke BAM Groep N.V.,Marshall Wace LLP,2022-11-08,NL0000337319,archive
0.98,Unibail-Rodamco-Westfield SE,Marshall Wace LLP,2022-11-08,FR0013326246,archive
0.48,Signify N.V.,Millennium International Management LP,2022-11-08,NL0011821392,archive
0.28,Basic-Fit N.V.,Praxis Alpha Partners LLP,2022-11-08,NL0011872650,archive
2.87,Wereldhave N.V.,"Woodson Capital Master Fund, LP",2022-11-08,NL0000289213,archive
0.56,PostNL N.V.,"WorldQuant, LLC",2022-11-08,NL0009739416,archive
1.32,Signify N.V.,AKO Capital LLP,2022-11-07,NL0011821392,archive
1.04,Basic-Fit N.V.,CapeView Capital LLP,2022-11-07,NL0011872650,archive
0.53,ABN AMRO Bank NV,Marshall Wace LLP,2022-11-07,NL0011540547,archive
1.61,PostNL N.V.,Marshall Wace LLP,2022-11-07,NL0009739416,archive
0.69,SBM Offshore N.V.,Marshall Wace LLP,2022-11-07,NL0000360618,archive
0.49,Signify N.V.,Millennium Capital Partners LLP,2022-11-07,NL0011821392,archive
0.8,AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2022-11-07,NL0000888691,archive
0.52,Basic-Fit N.V.,SIH Partners LLLP,2022-11-07,NL0011872650,archive
1.08,Koninklijke Heijmans N.V.,SIH Partners LLLP,2022-11-07,NL0009269109,archive
0.64,AMG Critical Materials N.V.,Systematica Investments Limited,2022-11-07,NL0000888691,archive
2.96,Wereldhave N.V.,"Woodson Capital Master Fund, LP",2022-11-07,NL0000289213,archive
0.79,BE Semiconductor Industries N.V.,Citadel Advisors LLC,2022-11-04,NL0012866412,archive
0.65,Koninklijke BAM Groep N.V.,Citadel Advisors LLC,2022-11-04,NL0000337319,archive
0.91,Pharming Group N.V.,Citadel Advisors LLC,2022-11-04,NL0010391025,archive
0.58,ArcelorMittal S.A.,"D. E. Shaw & Co., L.P.",2022-11-04,LU1598757687,archive
1.11,Koninklijke BAM Groep N.V.,Marshall Wace LLP,2022-11-04,NL0000337319,archive
0.72,AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2022-11-04,NL0000888691,archive
0.49,PostNL N.V.,Qube Research & Technologies Ltd.,2022-11-04,NL0009739416,archive
1.12,Basic-Fit N.V.,CapeView Capital LLP,2022-11-03,NL0011872650,archive
0.57,Koninklijke BAM Groep N.V.,Citadel Advisors LLC,2022-11-03,NL0000337319,archive
0.6,ArcelorMittal S.A.,"D. E. Shaw & Co., L.P.",2022-11-03,LU1598757687,archive
0.38,ABN AMRO Bank NV,Exane Asset Management,2022-11-03,NL0011540547,archive
0.81,PostNL N.V.,GSA Capital Partners LLP,2022-11-03,NL0009739416,archive
0.71,ArcelorMittal S.A.,Marshall Wace LLP,2022-11-03,LU1598757687,archive
0.88,Koninklijke BAM Groep N.V.,Marshall Wace LLP,2022-11-03,NL0000337319,archive
1.01,Koninklijke Philips N.V.,Marshall Wace LLP,2022-11-03,NL0000009538,archive
1.01,Unibail-Rodamco-Westfield SE,Marshall Wace LLP,2022-11-03,FR0013326246,archive
1.2,BE Semiconductor Industries N.V.,"Point72 Asset Management, L.P.",2022-11-03,NL0012866412,archive
0.84,AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2022-11-03,NL0000888691,archive
1.36,Koninklijke Philips N.V.,Viking Global Investors LP,2022-11-03,NL0000009538,archive
0.64,PostNL N.V.,"WorldQuant, LLC",2022-11-03,NL0009739416,archive
1.06,Basic-Fit N.V.,CapeView Capital LLP,2022-11-02,NL0011872650,archive
0.5,AMG Critical Materials N.V.,Citadel Advisors LLC,2022-11-02,NL0000888691,archive
0.78,Pharming Group N.V.,Citadel Advisors LLC,2022-11-02,NL0010391025,archive
1.05,Alfen N.V.,Marshall Wace LLP,2022-11-02,NL0012817175,archive
1.52,PostNL N.V.,Marshall Wace LLP,2022-11-02,NL0009739416,archive
0.23,PostNL N.V.,Millennium International Management LP,2022-11-02,NL0009739416,archive
0.57,Signify N.V.,Millennium International Management LP,2022-11-02,NL0011821392,archive
0.54,PostNL N.V.,Qube Research & Technologies Ltd.,2022-11-02,NL0009739416,archive
1.28,Koninklijke Heijmans N.V.,SIH Partners LLLP,2022-11-02,NL0009269109,archive
0.7,PostNL N.V.,"WorldQuant, LLC",2022-11-02,NL0009739416,archive
1.1,Basic-Fit N.V.,CapeView Capital LLP,2022-11-01,NL0011872650,archive
0.65,Pharming Group N.V.,Citadel Advisors LLC,2022-11-01,NL0010391025,archive
0.47,Basic-Fit N.V.,Janus Henderson Investors UK Limited,2022-11-01,NL0011872650,archive
0.83,Unibail-Rodamco-Westfield SE,Kintbury Capital LLP,2022-11-01,FR0013326246,archive
1.13,Koninklijke Heijmans N.V.,SIH Partners LLLP,2022-11-01,NL0009269109,archive
2.1,Basic-Fit N.V.,BlackRock Investment Management (UK) Limited,2022-10-31,NL0011872650,archive
0.75,Pharming Group N.V.,Citadel Advisors LLC,2022-10-31,NL0010391025,archive
0.7,Koninklijke BAM Groep N.V.,Marshall Wace LLP,2022-10-31,NL0000337319,archive
0.9,Unibail-Rodamco-Westfield SE,Marshall Wace LLP,2022-10-31,FR0013326246,archive
0.56,Signify N.V.,Millennium Capital Partners LLP,2022-10-31,NL0011821392,archive
0.07,AMG Critical Materials N.V.,Millennium International Management LP,2022-10-31,NL0000888691,archive
1.42,Koninklijke Heijmans N.V.,SIH Partners LLLP,2022-10-31,NL0009269109,archive
2.02,Basic-Fit N.V.,BlackRock Investment Management (UK) Limited,2022-10-28,NL0011872650,archive
0.5,ARCADIS N.V.,Boldhaven Management LLP,2022-10-28,NL0006237562,archive
1.03,Basic-Fit N.V.,CapeView Capital LLP,2022-10-28,NL0011872650,archive
0.87,Pharming Group N.V.,Citadel Advisors LLC,2022-10-28,NL0010391025,archive
0.98,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,2022-10-28,NL0011872650,archive
0.62,Signify N.V.,Millennium Capital Partners LLP,2022-10-28,NL0011821392,archive
0.62,AMG Critical Materials N.V.,Millennium International Management LP,2022-10-28,NL0000888691,archive
0.68,Signify N.V.,Millennium International Management LP,2022-10-28,NL0011821392,archive
1.01,BE Semiconductor Industries N.V.,"Point72 Asset Management, L.P.",2022-10-28,NL0012866412,archive
0.71,AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2022-10-28,NL0000888691,archive
0.61,Signify N.V.,Sandbar Assets Management LLP,2022-10-28,NL0011821392,archive
0.61,PostNL N.V.,"WorldQuant, LLC",2022-10-28,NL0009739416,archive
0.4,BE Semiconductor Industries N.V.,Albar Capital Partners LLP,2022-10-27,NL0012866412,archive
0.47,BE Semiconductor Industries N.V.,Citadel Advisors Europe Limited,2022-10-27,NL0012866412,archive
0.96,Pharming Group N.V.,Citadel Advisors LLC,2022-10-27,NL0010391025,archive
0.71,PostNL N.V.,GSA Capital Partners LLP,2022-10-27,NL0009739416,archive
0.59,SBM Offshore N.V.,Marshall Wace Asia Limited,2022-10-27,NL0000360618,archive
1.47,PostNL N.V.,Marshall Wace LLP,2022-10-27,NL0009739416,archive
0.87,Unibail-Rodamco-Westfield SE,Marshall Wace LLP,2022-10-27,FR0013326246,archive
0.54,AMG Critical Materials N.V.,Millennium International Management LP,2022-10-27,NL0000888691,archive
0.6,PostNL N.V.,Millennium International Management LP,2022-10-27,NL0009739416,archive
0.89,BE Semiconductor Industries N.V.,"Point72 Asset Management, L.P.",2022-10-27,NL0012866412,archive
0.63,AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2022-10-27,NL0000888691,archive
0.7,Signify N.V.,Sandbar Assets Management LLP,2022-10-27,NL0011821392,archive
1.38,Koninklijke Heijmans N.V.,SIH Partners LLLP,2022-10-27,NL0009269109,archive
0.52,BE Semiconductor Industries N.V.,Albar Capital Partners LLP,2022-10-26,NL0012866412,archive
0.88,Basic-Fit N.V.,CapeView Capital LLP,2022-10-26,NL0011872650,archive
0.86,BE Semiconductor Industries N.V.,Citadel Advisors LLC,2022-10-26,NL0012866412,archive
1.0,Pharming Group N.V.,Citadel Advisors LLC,2022-10-26,NL0010391025,archive
1.18,Alfen N.V.,Marshall Wace LLP,2022-10-26,NL0012817175,archive
0.69,ArcelorMittal S.A.,Marshall Wace LLP,2022-10-26,LU1598757687,archive
0.93,BE Semiconductor Industries N.V.,"Point72 Asset Management, L.P.",2022-10-26,NL0012866412,archive
0.54,AMG Critical Materials N.V.,Qube Research & Technologies Ltd.,2022-10-26,NL0000888691,archive
1.4,Koninklijke Heijmans N.V.,SIH Partners LLLP,2022-10-26,NL0009269109,archive
0.51,Galapagos NV,"AQR Capital Management, LLC",2022-10-25,BE0003818359,archive
0.9,BE Semiconductor Industries N.V.,Citadel Advisors LLC,2022-10-25,NL0012866412,archive
0.68,PostNL N.V.,GSA Capital Partners LLP,2022-10-25,NL0009739416,archive
0.79,SBM Offshore N.V.,Marshall Wace LLP,2022-10-25,NL0000360618,archive
0.97,Unibail-Rodamco-Westfield SE,Marshall Wace LLP,2022-10-25,FR0013326246,archive
0.78,PostNL N.V.,Millennium Capital Partners LLP,2022-10-25,NL0009739416,archive
1.23,BE Semiconductor Industries N.V.,Millennium International Management LP,2022-10-25,NL0012866412,archive
1.39,Koninklijke Heijmans N.V.,SIH Partners LLLP,2022-10-25,NL0009269109,archive
0.66,BE Semiconductor Industries N.V.,Albar Capital Partners LLP,2022-10-24,NL0012866412,archive
0.59,BE Semiconductor Industries N.V.,Citadel Advisors Europe Limited,2022-10-24,NL0012866412,archive
0.73,PostNL N.V.,GSA Capital Partners LLP,2022-10-24,NL0009739416,archive
0.5,Basic-Fit N.V.,Janus Henderson Investors UK Limited,2022-10-24,NL0011872650,archive
0.9,Koninklijke Philips N.V.,Marshall Wace LLP,2022-10-24,NL0000009538,archive
1.18,BE Semiconductor Industries N.V.,Millennium International Management LP,2022-10-24,NL0012866412,archive
0.59,PostNL N.V.,Millennium International Management LP,2022-10-24,NL0009739416,archive
0.91,Pharming Group N.V.,"Point72 Asset Management, L.P.",2022-10-24,NL0010391025,archive
1.4,Koninklijke Heijmans N.V.,SIH Partners LLLP,2022-10-24,NL0009269109,archive
1.8,Basic-Fit N.V.,BlackRock Investment Management (UK) Limited,2022-10-21,NL0011872650,archive
0.48,AMG Critical Materials N.V.,Citadel Advisors LLC,2022-10-21,NL0000888691,archive
0.68,PostNL N.V.,GSA Capital Partners LLP,2022-10-21,NL0009739416,archive
0.62,Koninklijke BAM Groep N.V.,Marshall Wace LLP,2022-10-21,NL0000337319,archive
0.89,Koninklijke Philips N.V.,Marshall Wace LLP,2022-10-21,NL0000009538,archive
1.01,Unibail-Rodamco-Westfield SE,Marshall Wace LLP,2022-10-21,FR0013326246,archive
1.06,BE Semiconductor Industries N.V.,Millennium International Management LP,2022-10-21,NL0012866412,archive
0.87,BE Semiconductor Industries N.V.,"Point72 Asset Management, L.P.",2022-10-21,NL0012866412,archive
1.39,Koninklijke Heijmans N.V.,SIH Partners LLLP,2022-10-21,NL0009269109,archive
0.38,BE Semiconductor Industries N.V.,"WorldQuant, LLC",2022-10-21,NL0012866412,archive
1.75,Basic-Fit N.V.,BlackRock Investment Management (UK) Limited,2022-10-20,NL0011872650,archive
0.98,Basic-Fit N.V.,CapeView Capital LLP,2022-10-20,NL0011872650,archive
0.34,PostNL N.V.,Capital Fund Management S.A.,2022-10-20,NL0009739416,archive
0.78,Basic-Fit N.V.,Citadel Advisors Europe Limited,2022-10-20,NL0011872650,archive
0.92,Pharming Group N.V.,Citadel Advisors LLC,2022-10-20,NL0010391025,archive
1.2,Alfen N.V.,Marshall Wace LLP,2022-10-20,NL0012817175,archive
0.95,Koninklijke Philips N.V.,Marshall Wace LLP,2022-10-20,NL0000009538,archive
0.71,Signify N.V.,Millennium Capital Partners LLP,2022-10-20,NL0011821392,archive
0.6,PostNL N.V.,Millennium International Management LP,2022-10-20,NL0009739416,archive
0.79,BE Semiconductor Industries N.V.,"Point72 Asset Management, L.P.",2022-10-20,NL0012866412,archive
0.57,BE Semiconductor Industries N.V.,"WorldQuant, LLC",2022-10-20,NL0012866412,archive
0.59,BE Semiconductor Industries N.V.,Albar Capital Partners LLP,2022-10-19,NL0012866412,archive
0.5,PostNL N.V.,Capital Fund Management S.A.,2022-10-19,NL0009739416,archive
0.68,BE Semiconductor Industries N.V.,Citadel Advisors Europe Limited,2022-10-19,NL0012866412,archive
0.8,BE Semiconductor Industries N.V.,Citadel Advisors LLC,2022-10-19,NL0012866412,archive
0.47,Basic-Fit N.V.,LMR Partners LLP,2022-10-19,NL0011872650,archive
0.91,BE Semiconductor Industries N.V.,Millennium International Management LP,2022-10-19,NL0012866412,archive
0.7,Signify N.V.,Millennium International Management LP,2022-10-19,NL0011821392,archive
0.32,Unibail-Rodamco-Westfield SE,"Moore Europe Capital Management, LLP",2022-10-19,FR0013326246,archive
0.63,BE Semiconductor Industries N.V.,"Point72 Asset Management, L.P.",2022-10-19,NL0012866412,archive
0.58,PostNL N.V.,"WorldQuant, LLC",2022-10-19,NL0009739416,archive
1.61,Basic-Fit N.V.,BlackRock Investment Management (UK) Limited,2022-10-18,NL0011872650,archive
0.59,ASML Holding N.V.,"Bridgewater Associates, LP",2022-10-18,NL0010273215,archive
0.59,ING Groep N.V.,"Bridgewater Associates, LP",2022-10-18,NL0011821202,archive
0.71,BE Semiconductor Industries N.V.,Citadel Advisors Europe Limited,2022-10-18,NL0012866412,archive
0.59,ArcelorMittal S.A.,"D. E. Shaw & Co., L.P.",2022-10-18,LU1598757687,archive
0.5,BE Semiconductor Industries N.V.,"Davidson Kempner European Partners, LLP",2022-10-18,NL0012866412,archive
0.71,Koninklijke Philips N.V.,Greenvale Capital LLP,2022-10-18,NL0000009538,archive
0.97,Unibail-Rodamco-Westfield SE,Kintbury Capital LLP,2022-10-18,FR0013326246,archive
0.84,PostNL N.V.,Millennium Capital Partners LLP,2022-10-18,NL0009739416,archive
0.63,Signify N.V.,Millennium Capital Partners LLP,2022-10-18,NL0011821392,archive
1.42,Koninklijke Heijmans N.V.,SIH Partners LLLP,2022-10-18,NL0009269109,archive
0.61,BE Semiconductor Industries N.V.,Albar Capital Partners LLP,2022-10-17,NL0012866412,archive
0.63,BE Semiconductor Industries N.V.,Citadel Advisors Europe Limited,2022-10-17,NL0012866412,archive
0.69,SBM Offshore N.V.,Marshall Wace Asia Limited,2022-10-17,NL0000360618,archive
1.09,Koninklijke Philips N.V.,Marshall Wace LLP,2022-10-17,NL0000009538,archive
0.89,SBM Offshore N.V.,Marshall Wace LLP,2022-10-17,NL0000360618,archive
0.67,PostNL N.V.,"WorldQuant, LLC",2022-10-17,NL0009739416,archive
1.01,Basic-Fit N.V.,CapeView Capital LLP,2022-10-14,NL0011872650,archive
0.62,PostNL N.V.,Capital Fund Management S.A.,2022-10-14,NL0009739416,archive
0.71,BE Semiconductor Industries N.V.,Citadel Advisors LLC,2022-10-14,NL0012866412,archive
0.71,PostNL N.V.,GSA Capital Partners LLP,2022-10-14,NL0009739416,archive
1.14,Koninklijke Philips N.V.,Marshall Wace LLP,2022-10-14,NL0000009538,archive
1.51,PostNL N.V.,Marshall Wace LLP,2022-10-14,NL0009739416,archive
0.91,Unibail-Rodamco-Westfield SE,Marshall Wace LLP,2022-10-14,FR0013326246,archive
0.91,PostNL N.V.,Millennium Capital Partners LLP,2022-10-14,NL0009739416,archive
0.52,Unibail-Rodamco-Westfield SE,"Moore Europe Capital Management, LLP",2022-10-14,FR0013326246,archive
0.7,BE Semiconductor Industries N.V.,"Point72 Asset Management, L.P.",2022-10-14,NL0012866412,archive
1.36,Koninklijke Heijmans N.V.,SIH Partners LLLP,2022-10-14,NL0009269109,archive
1.29,Signify N.V.,AKO Capital LLP,2022-10-13,NL0011821392,archive
0.99,Basic-Fit N.V.,CapeView Capital LLP,2022-10-13,NL0011872650,archive
0.74,PostNL N.V.,Capital Fund Management S.A.,2022-10-13,NL0009739416,archive
0.48,BE Semiconductor Industries N.V.,"Davidson Kempner European Partners, LLP",2022-10-13,NL0012866412,archive
0.79,ArcelorMittal S.A.,Marshall Wace LLP,2022-10-13,LU1598757687,archive
0.59,Signify N.V.,Millennium Capital Partners LLP,2022-10-13,NL0011821392,archive
0.86,BE Semiconductor Industries N.V.,Millennium International Management LP,2022-10-13,NL0012866412,archive
0.67,Signify N.V.,Millennium International Management LP,2022-10-13,NL0011821392,archive
1.23,Koninklijke Philips N.V.,Viking Global Investors LP,2022-10-13,NL0000009538,archive
0.78,Flow Traders Ltd.,Voleon Capital Management LP,2022-10-13,NL0011279492,archive
0.71,PostNL N.V.,"WorldQuant, LLC",2022-10-13,NL0009739416,archive
1.51,Basic-Fit N.V.,BlackRock Investment Management (UK) Limited,2022-10-12,NL0011872650,archive
0.95,PostNL N.V.,Capital Fund Management S.A.,2022-10-12,NL0009739416,archive
0.41,Koninklijke Philips N.V.,Citadel Advisors LLC,2022-10-12,NL0000009538,archive
0.63,Koninklijke Philips N.V.,Greenvale Capital LLP,2022-10-12,NL0000009538,archive
0.47,Basic-Fit N.V.,Janus Henderson Investors UK Limited,2022-10-12,NL0011872650,archive
1.11,Alfen N.V.,Marshall Wace LLP,2022-10-12,NL0012817175,archive
0.71,Signify N.V.,Millennium International Management LP,2022-10-12,NL0011821392,archive
0.8,Pharming Group N.V.,"Point72 Asset Management, L.P.",2022-10-12,NL0010391025,archive
0.69,BE Semiconductor Industries N.V.,"WorldQuant, LLC",2022-10-12,NL0012866412,archive
0.69,PostNL N.V.,"WorldQuant, LLC",2022-10-12,NL0009739416,archive
0.6,ING Groep N.V.,"Bridgewater Associates, LP",2022-10-11,NL0011821202,archive
1.0,Basic-Fit N.V.,CapeView Capital LLP,2022-10-11,NL0011872650,archive
1.05,PostNL N.V.,Capital Fund Management S.A.,2022-10-11,NL0009739416,archive
0.55,ABN AMRO Bank NV,Exane Asset Management,2022-10-11,NL0011540547,archive
1.27,Koninklijke Philips N.V.,Marshall Wace LLP,2022-10-11,NL0000009538,archive
0.8,PostNL N.V.,Millennium Capital Partners LLP,2022-10-11,NL0009739416,archive
0.6,BE Semiconductor Industries N.V.,"Point72 Asset Management, L.P.",2022-10-11,NL0012866412,archive
0.6,ASML Holding N.V.,"Bridgewater Associates, LP",2022-10-10,NL0010273215,archive
0.83,Pharming Group N.V.,Citadel Advisors LLC,2022-10-10,NL0010391025,archive
0.66,Signify N.V.,Millennium Capital Partners LLP,2022-10-10,NL0011821392,archive
0.41,Koninklijke Vopak N.V.,Mirabella Financial Services LLP,2022-10-10,NL0009432491,archive
0.74,Basic-Fit N.V.,Praxis Alpha Partners LLP,2022-10-10,NL0011872650,archive
0.7,BE Semiconductor Industries N.V.,"WorldQuant, LLC",2022-10-10,NL0012866412,archive
0.61,BE Semiconductor Industries N.V.,Citadel Advisors LLC,2022-10-07,NL0012866412,archive
1.3,Koninklijke Philips N.V.,Marshall Wace LLP,2022-10-07,NL0000009538,archive
0.8,Unibail-Rodamco-Westfield SE,Marshall Wace LLP,2022-10-07,FR0013326246,archive
0.53,Signify N.V.,Millennium Capital Partners LLP,2022-10-07,NL0011821392,archive
1.04,BE Semiconductor Industries N.V.,Millennium International Management LP,2022-10-07,NL0012866412,archive
0.52,PostNL N.V.,Millennium International Management LP,2022-10-07,NL0009739416,archive
0.63,Signify N.V.,Millennium International Management LP,2022-10-07,NL0011821392,archive
0.71,PostNL N.V.,"WorldQuant, LLC",2022-10-07,NL0009739416,archive
0.59,BE Semiconductor Industries N.V.,Albar Capital Partners LLP,2022-10-06,NL0012866412,archive
0.69,Koninklijke Philips N.V.,Citadel Advisors LLC,2022-10-06,NL0000009538,archive
0.74,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,2022-10-06,NL0011872650,archive
0.34,Koninklijke Vopak N.V.,JPMorgan Asset Management (UK) Ltd.,2022-10-06,NL0009432491,archive
0.83,ArcelorMittal S.A.,Marshall Wace LLP,2022-10-06,LU1598757687,archive
0.71,Pharming Group N.V.,"Point72 Asset Management, L.P.",2022-10-06,NL0010391025,archive
0.68,BE Semiconductor Industries N.V.,"WorldQuant, LLC",2022-10-06,NL0012866412,archive
1.44,Basic-Fit N.V.,BlackRock Investment Management (UK) Limited,2022-10-05,NL0011872650,archive
0.59,ASML Holding N.V.,"Bridgewater Associates, LP",2022-10-05,NL0010273215,archive
0.58,ING Groep N.V.,"Bridgewater Associates, LP",2022-10-05,NL0011821202,archive
0.7,Koninklijke Philips N.V.,Citadel Advisors LLC,2022-10-05,NL0000009538,archive
0.6,ArcelorMittal S.A.,"D. E. Shaw & Co., L.P.",2022-10-05,LU1598757687,archive
1.0,Alfen N.V.,Marshall Wace LLP,2022-10-05,NL0012817175,archive
1.42,PostNL N.V.,Marshall Wace LLP,2022-10-05,NL0009739416,archive
0.76,PostNL N.V.,Millennium Capital Partners LLP,2022-10-05,NL0009739416,archive
0.52,Signify N.V.,Millennium International Management LP,2022-10-05,NL0011821392,archive
0.68,Pharming Group N.V.,"Point72 Asset Management, L.P.",2022-10-05,NL0010391025,archive
0.68,PostNL N.V.,"WorldQuant, LLC",2022-10-05,NL0009739416,archive
1.39,Signify N.V.,AKO Capital LLP,2022-10-04,NL0011821392,archive
1.39,Basic-Fit N.V.,BlackRock Investment Management (UK) Limited,2022-10-04,NL0011872650,archive
0.62,ASML Holding N.V.,"Bridgewater Associates, LP",2022-10-04,NL0010273215,archive
0.61,ING Groep N.V.,"Bridgewater Associates, LP",2022-10-04,NL0011821202,archive
0.59,ArcelorMittal S.A.,"D. E. Shaw & Co., L.P.",2022-10-04,LU1598757687,archive
1.12,Wereldhave N.V.,Franklin Templeton Investment Management Limited,2022-10-04,NL0000289213,archive
0.91,Alfen N.V.,Marshall Wace LLP,2022-10-04,NL0012817175,archive
0.75,Unibail-Rodamco-Westfield SE,Marshall Wace LLP,2022-10-04,FR0013326246,archive
0.91,BE Semiconductor Industries N.V.,Millennium International Management LP,2022-10-04,NL0012866412,archive
0.6,Basic-Fit N.V.,Praxis Alpha Partners LLP,2022-10-04,NL0011872650,archive
0.76,BE Semiconductor Industries N.V.,"WorldQuant, LLC",2022-10-04,NL0012866412,archive
1.0,Unibail-Rodamco-Westfield SE,Kintbury Capital LLP,2022-10-03,FR0013326246,archive
0.5,Koninklijke BAM Groep N.V.,Marshall Wace LLP,2022-10-03,NL0000337319,archive
0.55,Pharming Group N.V.,"Point72 Asset Management, L.P.",2022-10-03,NL0010391025,archive
