issuer_name,isin,net_short_position,position_holder,position_date,source
The Magnum Ice Cream Company N.V.,NL0015002MS2,0.73,Marshall Wace LLP,2026-05-18,current
IMCD N.V.,NL0010801007,0.79,"BlackRock Financial Management, Inc.",2026-05-15,current
Wereldhave N.V.,NL0000289213,0.82,Citadel Advisors LLC,2026-05-15,current
Wolters Kluwer N.V.,NL0000395903,0.68,"D. E. Shaw & Co., L.P.",2026-05-15,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,0.68,Marshall Wace LLP,2026-05-15,current
Randstad N.V.,NL0000379121,0.51,"Point72 Europe (London), LLP",2026-05-15,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,0.71,Qube Research & Technologies Ltd.,2026-05-15,current
Alfen N.V.,NL0012817175,0.55,Squarepoint Ops LLC,2026-05-15,current
Flow Traders Ltd.,BMG3602E1084,0.51,Capital Fund Management S.A.,2026-05-14,current
IMCD N.V.,NL0010801007,0.78,Capital Fund Management S.A.,2026-05-14,current
Basic-Fit N.V.,NL0011872650,0.89,"D. E. Shaw & Co., L.P.",2026-05-14,current
IMCD N.V.,NL0010801007,0.8,"PDT Partners, LLC",2026-05-14,current
Basic-Fit N.V.,NL0011872650,0.77,Sculptor Capital Management Europe Limited,2026-05-14,current
IMCD N.V.,NL0010801007,0.8,Capital Fund Management S.A.,2026-05-13,current
Randstad N.V.,NL0000379121,0.6,Citadel Advisors Europe Limited,2026-05-13,current
IMCD N.V.,NL0010801007,0.7,Citadel Advisors LLC,2026-05-13,current
Signify N.V.,NL0011821392,1.61,Citadel Advisors LLC,2026-05-13,current
Pharming Group N.V.,NL0010391025,0.53,"D. E. Shaw & Co., L.P.",2026-05-13,current
Pharming Group N.V.,NL0010391025,0.91,"Two Sigma Investments, LP",2026-05-13,current
Pharming Group N.V.,NL0010391025,0.74,Walleye Capital LLC,2026-05-13,current
IMCD N.V.,NL0010801007,0.59,"BlackRock Advisors, LLC",2026-05-12,current
Signify N.V.,NL0011821392,0.71,"BlackRock Financial Management, Inc.",2026-05-12,current
IMCD N.V.,NL0010801007,0.79,Capital Fund Management S.A.,2026-05-12,current
IMCD N.V.,NL0010801007,0.69,Citadel Advisors LLC,2026-05-12,current
Pharming Group N.V.,NL0010391025,0.82,Lazard Asset Management LLC,2026-05-12,current
NSI N.V.,NL0012365084,0.8,Numeric Investors LLC,2026-05-12,current
InPost S.A.,LU2290522684,1.36,"Two Sigma Investments, LP",2026-05-12,current
IMCD N.V.,NL0010801007,0.8,Capital Fund Management S.A.,2026-05-11,current
TKH Group N.V.,NL0000852523,0.52,Capital Fund Management S.A.,2026-05-11,current
Signify N.V.,NL0011821392,1.02,Citadel Advisors Europe Limited,2026-05-11,current
DSM-Firmenich AG,CH1216478797,0.5,Citadel Advisors LLC,2026-05-11,current
IMCD N.V.,NL0010801007,0.79,Citadel Advisors LLC,2026-05-11,current
Wereldhave N.V.,NL0000289213,0.7,Citadel Advisors LLC,2026-05-11,current
Pharming Group N.V.,NL0010391025,0.86,"Two Sigma Investments, LP",2026-05-11,current
Theon International Plc,CY0200751713,0.8,"Two Sigma Investments, LP",2026-05-11,current
Pharming Group N.V.,NL0010391025,0.63,Walleye Capital LLC,2026-05-11,current
Signify N.V.,NL0011821392,1.5,Citadel Advisors LLC,2026-05-08,current
Akzo Nobel N.V.,NL0013267909,1.72,Davidson Kempner Capital Management LP,2026-05-08,current
Pharming Group N.V.,NL0010391025,0.75,"Two Sigma Investments, LP",2026-05-08,current
Pharming Group N.V.,NL0010391025,0.53,Walleye Capital LLC,2026-05-08,current
