issuer_name,isin,net_short_position,position_holder,position_date,source
AMG Critical Materials N.V.,NL0000888691,0.88,"D. E. Shaw & Co., L.P.",2023-08-21,archive
IMCD N.V.,NL0010801007,0.48,"AQR Capital Management, LLC",2023-08-18,archive
AMG Critical Materials N.V.,NL0000888691,0.91,"D. E. Shaw & Co., L.P.",2023-08-18,archive
Koninklijke Philips N.V.,NL0000009538,0.61,Greenvale Capital LLP,2023-08-18,archive
Alfen N.V.,NL0012817175,0.78,Marshall Wace LLP,2023-08-18,archive
Koninklijke KPN N.V.,NL0000009082,0.5,Syquant Capital,2023-08-18,archive
Wereldhave N.V.,NL0000289213,1.05,Toscafund Asset Management LLP,2023-08-18,archive
Signify N.V.,NL0011821392,0.56,AKO Capital LLP,2023-08-17,archive
Basic-Fit N.V.,NL0011872650,0.51,CapeView Capital LLP,2023-08-17,archive
Koninklijke BAM Groep N.V.,NL0000337319,0.53,Citadel Advisors LLC,2023-08-17,archive
Koninklijke Philips N.V.,NL0000009538,0.83,Citadel Advisors LLC,2023-08-17,archive
Koninklijke BAM Groep N.V.,NL0000337319,0.92,Marshall Wace LLP,2023-08-17,archive
Aperam S.A.,LU0569974404,0.59,Pantechnicon Advisors LLP,2023-08-17,archive
PostNL N.V.,NL0009739416,0.72,Qube Research & Technologies Ltd.,2023-08-17,archive
Koninklijke KPN N.V.,NL0000009082,0.49,Syquant Capital,2023-08-17,archive
Koninklijke Philips N.V.,NL0000009538,0.58,Viking Global Investors LP,2023-08-17,archive
AMG Critical Materials N.V.,NL0000888691,0.5,AHL Partners LLP,2023-08-16,archive
IMCD N.V.,NL0010801007,0.5,"AQR Capital Management, LLC",2023-08-16,archive
Koninklijke Philips N.V.,NL0000009538,0.79,Citadel Advisors LLC,2023-08-16,archive
AMG Critical Materials N.V.,NL0000888691,0.83,"D. E. Shaw & Co., L.P.",2023-08-16,archive
Alfen N.V.,NL0012817175,0.87,Marshall Wace LLP,2023-08-16,archive
Koninklijke KPN N.V.,NL0000009082,0.5,Syquant Capital,2023-08-16,archive
PostNL N.V.,NL0009739416,0.49,UBS Asset Management (UK) Ltd.,2023-08-16,archive
Alfen N.V.,NL0012817175,0.41,Walleye Capital LLC,2023-08-16,archive
Koninklijke Philips N.V.,NL0000009538,0.8,Citadel Advisors LLC,2023-08-15,archive
Alfen N.V.,NL0012817175,0.0,Marble Bar Asset Management LLP,2023-08-15,archive
Alfen N.V.,NL0012817175,0.91,Marshall Wace LLP,2023-08-15,archive
Alfen N.V.,NL0012817175,1.1,Qube Research & Technologies Ltd.,2023-08-15,archive
PostNL N.V.,NL0009739416,0.69,Qube Research & Technologies Ltd.,2023-08-15,archive
Alfen N.V.,NL0012817175,0.62,Squarepoint Ops LLC,2023-08-15,archive
Koninklijke KPN N.V.,NL0000009082,0.49,Syquant Capital,2023-08-15,archive
Wereldhave N.V.,NL0000289213,1.18,Toscafund Asset Management LLP,2023-08-15,archive
Alfen N.V.,NL0012817175,0.52,Voleon Capital Management LP,2023-08-15,archive
Alfen N.V.,NL0012817175,0.69,Millennium International Management LP,2023-08-14,archive
Alfen N.V.,NL0012817175,0.59,Squarepoint Ops LLC,2023-08-14,archive
Alfen N.V.,NL0012817175,0.5,Walleye Capital LLC,2023-08-14,archive
AMG Critical Materials N.V.,NL0000888691,0.49,Capital Fund Management S.A.,2023-08-11,archive
Pharming Group N.V.,NL0010391025,0.47,Citadel Advisors LLC,2023-08-11,archive
AMG Critical Materials N.V.,NL0000888691,0.7,"D. E. Shaw & Co., L.P.",2023-08-11,archive
Adyen N.V.,NL0012969182,0.49,Marshall Wace LLP,2023-08-11,archive
PostNL N.V.,NL0009739416,0.7,Qube Research & Technologies Ltd.,2023-08-11,archive
Koninklijke Philips N.V.,NL0000009538,0.61,Viking Global Investors LP,2023-08-11,archive
Alfen N.V.,NL0012817175,0.49,Walleye Capital LLC,2023-08-11,archive
Signify N.V.,NL0011821392,0.69,AKO Capital LLP,2023-08-10,archive
Alfen N.V.,NL0012817175,1.09,Marshall Wace LLP,2023-08-10,archive
BE Semiconductor Industries N.V.,NL0012866412,0.7,Millennium Capital Management France SAS,2023-08-10,archive
Alfen N.V.,NL0012817175,0.81,Qube Research & Technologies Ltd.,2023-08-10,archive
Koninklijke KPN N.V.,NL0000009082,0.5,Syquant Capital,2023-08-10,archive
Alfen N.V.,NL0012817175,0.48,"WorldQuant, LLC",2023-08-10,archive
Alfen N.V.,NL0012817175,0.36,Citadel Advisors LLC,2023-08-09,archive
Pharming Group N.V.,NL0010391025,0.55,Citadel Advisors LLC,2023-08-09,archive
Alfen N.V.,NL0012817175,0.47,"D. E. Shaw & Co., L.P.",2023-08-09,archive
PostNL N.V.,NL0009739416,0.48,JPMorgan Asset Management (UK) Ltd.,2023-08-09,archive
Alfen N.V.,NL0012817175,0.78,Millennium International Management LP,2023-08-09,archive
Alfen N.V.,NL0012817175,0.79,Qube Research & Technologies Ltd.,2023-08-09,archive
AMG Critical Materials N.V.,NL0000888691,0.4,Citadel Advisors LLC,2023-08-08,archive
Pharming Group N.V.,NL0010391025,0.65,Citadel Advisors LLC,2023-08-08,archive
Alfen N.V.,NL0012817175,0.51,"D. E. Shaw & Co., L.P.",2023-08-08,archive
AMG Critical Materials N.V.,NL0000888691,0.61,"D. E. Shaw & Co., L.P.",2023-08-08,archive
Vivoryon Therapeutics N.V.,NL00150002Q7,0.94,Janus Henderson Investors UK Limited,2023-08-08,archive
Alfen N.V.,NL0012817175,0.62,Squarepoint Ops LLC,2023-08-08,archive
Alfen N.V.,NL0012817175,0.57,"WorldQuant, LLC",2023-08-08,archive
Basic-Fit N.V.,NL0011872650,0.43,CapeView Capital LLP,2023-08-07,archive
AMG Critical Materials N.V.,NL0000888691,0.5,Capital Fund Management S.A.,2023-08-07,archive
Alfen N.V.,NL0012817175,0.51,Citadel Advisors LLC,2023-08-07,archive
Adyen N.V.,NL0012969182,0.5,Marshall Wace LLP,2023-08-07,archive
Alfen N.V.,NL0012817175,1.19,Marshall Wace LLP,2023-08-07,archive
Galapagos NV,BE0003818359,0.51,Qube Research & Technologies Ltd.,2023-08-07,archive
AMG Critical Materials N.V.,NL0000888691,0.57,Citadel Advisors LLC,2023-08-04,archive
ARCADIS N.V.,NL0006237562,0.48,Citadel Advisors LLC,2023-08-04,archive
Adyen N.V.,NL0012969182,0.49,Marshall Wace LLP,2023-08-04,archive
Alfen N.V.,NL0012817175,0.82,Millennium International Management LP,2023-08-04,archive
Alfen N.V.,NL0012817175,0.58,Squarepoint Ops LLC,2023-08-04,archive
Alfen N.V.,NL0012817175,0.48,Citadel Advisors LLC,2023-08-03,archive
Koninklijke Philips N.V.,NL0000009538,0.72,Citadel Advisors LLC,2023-08-03,archive
Alfen N.V.,NL0012817175,0.49,"D. E. Shaw & Co., L.P.",2023-08-03,archive
AMG Critical Materials N.V.,NL0000888691,0.58,"D. E. Shaw & Co., L.P.",2023-08-03,archive
Adyen N.V.,NL0012969182,0.5,Marshall Wace LLP,2023-08-03,archive
Alfen N.V.,NL0012817175,0.52,Citadel Advisors LLC,2023-08-02,archive
AMG Critical Materials N.V.,NL0000888691,0.78,Citadel Advisors LLC,2023-08-02,archive
ARCADIS N.V.,NL0006237562,0.5,Citadel Advisors LLC,2023-08-02,archive
Pharming Group N.V.,NL0010391025,0.72,Citadel Advisors LLC,2023-08-02,archive
Alfen N.V.,NL0012817175,0.5,"D. E. Shaw & Co., L.P.",2023-08-02,archive
AMG Critical Materials N.V.,NL0000888691,0.6,"D. E. Shaw & Co., L.P.",2023-08-02,archive
Alfen N.V.,NL0012817175,1.28,Marshall Wace LLP,2023-08-02,archive
Alfen N.V.,NL0012817175,0.74,Millennium International Management LP,2023-08-02,archive
Koninklijke KPN N.V.,NL0000009082,0.49,Syquant Capital,2023-08-02,archive
Alfen N.V.,NL0012817175,0.69,"WorldQuant, LLC",2023-08-02,archive
AMG Critical Materials N.V.,NL0000888691,0.8,Citadel Advisors LLC,2023-08-01,archive
Pharming Group N.V.,NL0010391025,0.62,Citadel Advisors LLC,2023-08-01,archive
AMG Critical Materials N.V.,NL0000888691,0.53,"D. E. Shaw & Co., L.P.",2023-08-01,archive
Alfen N.V.,NL0012817175,1.37,Marshall Wace LLP,2023-08-01,archive
Aperam S.A.,LU0569974404,0.6,Pantechnicon Advisors LLP,2023-08-01,archive
Signify N.V.,NL0011821392,0.7,AKO Capital LLP,2023-07-31,archive
AMG Critical Materials N.V.,NL0000888691,0.73,Citadel Advisors LLC,2023-07-31,archive
Pharming Group N.V.,NL0010391025,0.56,Citadel Advisors LLC,2023-07-31,archive
Koninklijke BAM Groep N.V.,NL0000337319,0.8,Marshall Wace LLP,2023-07-31,archive
Alfen N.V.,NL0012817175,0.83,Qube Research & Technologies Ltd.,2023-07-31,archive
Galapagos NV,BE0003818359,0.48,Qube Research & Technologies Ltd.,2023-07-31,archive
Alfen N.V.,NL0012817175,0.6,Squarepoint Ops LLC,2023-07-31,archive
Alfen N.V.,NL0012817175,0.47,Voleon Capital Management LP,2023-07-31,archive
Signify N.V.,NL0011821392,0.45,Millennium Capital Partners LLP,2023-07-28,archive
Alfen N.V.,NL0012817175,0.66,Millennium International Management LP,2023-07-28,archive
Alfen N.V.,NL0012817175,0.51,Voleon Capital Management LP,2023-07-28,archive
Alfen N.V.,NL0012817175,0.75,"WorldQuant, LLC",2023-07-28,archive
Basic-Fit N.V.,NL0011872650,0.51,CapeView Capital LLP,2023-07-27,archive
AMG Critical Materials N.V.,NL0000888691,0.65,Citadel Advisors LLC,2023-07-27,archive
Koninklijke Philips N.V.,NL0000009538,0.65,Citadel Advisors LLC,2023-07-27,archive
Pharming Group N.V.,NL0010391025,0.69,Citadel Advisors LLC,2023-07-27,archive
Signify N.V.,NL0011821392,0.44,Citadel Advisors LLC,2023-07-27,archive
Alfen N.V.,NL0012817175,1.49,Marshall Wace LLP,2023-07-27,archive
Alfen N.V.,NL0012817175,0.57,Millennium International Management LP,2023-07-27,archive
Aperam S.A.,LU0569974404,0.59,Pantechnicon Advisors LLP,2023-07-27,archive
Pharming Group N.V.,NL0010391025,0.7,Citadel Advisors LLC,2023-07-26,archive
Koninklijke Philips N.V.,NL0000009538,0.51,Greenvale Capital LLP,2023-07-26,archive
Signify N.V.,NL0011821392,0.53,Millennium Capital Partners LLP,2023-07-26,archive
Wereldhave N.V.,NL0000289213,0.46,"Woodson Capital Master Fund, LP",2023-07-26,archive
Pharming Group N.V.,NL0010391025,0.49,"WorldQuant, LLC",2023-07-26,archive
Basic-Fit N.V.,NL0011872650,2.71,BlackRock Investment Management (UK) Limited,2023-07-25,archive
Koninklijke Philips N.V.,NL0000009538,0.52,Citadel Advisors LLC,2023-07-25,archive
Alfen N.V.,NL0012817175,1.58,Marshall Wace LLP,2023-07-25,archive
Alfen N.V.,NL0012817175,0.49,Voleon Capital Management LP,2023-07-25,archive
Alfen N.V.,NL0012817175,0.45,Citadel Advisors LLC,2023-07-24,archive
Koninklijke Philips N.V.,NL0000009538,0.47,Citadel Advisors LLC,2023-07-24,archive
Aperam S.A.,LU0569974404,0.6,Pantechnicon Advisors LLP,2023-07-24,archive
Koninklijke KPN N.V.,NL0000009082,0.5,Syquant Capital,2023-07-24,archive
Koninklijke Philips N.V.,NL0000009538,0.58,Viking Global Investors LP,2023-07-24,archive
Alfen N.V.,NL0012817175,0.5,Walleye Capital LLC,2023-07-24,archive
Wereldhave N.V.,NL0000289213,0.76,"Woodson Capital Master Fund, LP",2023-07-24,archive
SBM Offshore N.V.,NL0000360618,0.49,"AQR Capital Management, LLC",2023-07-21,archive
Pharming Group N.V.,NL0010391025,0.65,Citadel Advisors LLC,2023-07-21,archive
Alfen N.V.,NL0012817175,0.6,Millennium International Management LP,2023-07-21,archive
Alfen N.V.,NL0012817175,0.5,Voleon Capital Management LP,2023-07-21,archive
Wereldhave N.V.,NL0000289213,0.87,"Woodson Capital Master Fund, LP",2023-07-20,archive
Pharming Group N.V.,NL0010391025,0.55,"WorldQuant, LLC",2023-07-20,archive
Alfen N.V.,NL0012817175,0.51,Citadel Advisors LLC,2023-07-19,archive
Pharming Group N.V.,NL0010391025,0.72,Citadel Advisors LLC,2023-07-19,archive
Signify N.V.,NL0011821392,0.51,Citadel Advisors LLC,2023-07-19,archive
Alfen N.V.,NL0012817175,0.49,"D. E. Shaw & Co., L.P.",2023-07-19,archive
Alfen N.V.,NL0012817175,0.45,Kuvari Partners LLP,2023-07-19,archive
Koninklijke BAM Groep N.V.,NL0000337319,0.71,Marshall Wace LLP,2023-07-19,archive
Alfen N.V.,NL0012817175,1.69,Marshall Wace LLP,2023-07-18,archive
Alfen N.V.,NL0012817175,0.59,Millennium International Management LP,2023-07-18,archive
Koninklijke KPN N.V.,NL0000009082,0.46,Syquant Capital,2023-07-18,archive
Alfen N.V.,NL0012817175,0.81,"WorldQuant, LLC",2023-07-18,archive
Alfen N.V.,NL0012817175,1.7,Marshall Wace LLP,2023-07-17,archive
PostNL N.V.,NL0009739416,0.69,Qube Research & Technologies Ltd.,2023-07-17,archive
Basic-Fit N.V.,NL0011872650,0.46,ShadowFall Capital & Research LLP,2023-07-17,archive
Koninklijke KPN N.V.,NL0000009082,0.53,Syquant Capital,2023-07-17,archive
Signify N.V.,NL0011821392,0.84,AKO Capital LLP,2023-07-14,archive
Alfen N.V.,NL0012817175,0.46,Citadel Advisors LLC,2023-07-13,archive
Koninklijke BAM Groep N.V.,NL0000337319,0.61,Marshall Wace LLP,2023-07-13,archive
Alfen N.V.,NL0012817175,0.79,Qube Research & Technologies Ltd.,2023-07-13,archive
Qiagen N.V.,NL0012169213,0.48,"Tenor Capital Management Company, L.P.",2023-07-13,archive
Koninklijke Philips N.V.,NL0000009538,0.5,Citadel Advisors LLC,2023-07-12,archive
Wereldhave N.V.,NL0000289213,0.32,Eleva Capital SAS,2023-07-12,archive
Randstad N.V.,NL0000379121,0.49,Marshall Wace LLP,2023-07-12,archive
Alfen N.V.,NL0012817175,0.45,Voleon Capital Management LP,2023-07-12,archive
Alfen N.V.,NL0012817175,0.49,Walleye Capital LLC,2023-07-12,archive
Alfen N.V.,NL0012817175,0.77,"WorldQuant, LLC",2023-07-12,archive
Pharming Group N.V.,NL0010391025,0.67,Citadel Advisors LLC,2023-07-11,archive
Wereldhave N.V.,NL0000289213,0.69,Eleva Capital SAS,2023-07-11,archive
Alfen N.V.,NL0012817175,0.88,Qube Research & Technologies Ltd.,2023-07-11,archive
Wereldhave N.V.,NL0000289213,1.08,"Woodson Capital Master Fund, LP",2023-07-11,archive
Aperam S.A.,LU0569974404,0.47,Millennium Capital Partners LLP,2023-07-10,archive
Alfen N.V.,NL0012817175,0.66,Millennium International Management LP,2023-07-10,archive
PostNL N.V.,NL0009739416,0.7,Qube Research & Technologies Ltd.,2023-07-10,archive
Koninklijke Philips N.V.,NL0000009538,0.67,Viking Global Investors LP,2023-07-10,archive
IMCD N.V.,NL0010801007,0.48,"AQR Capital Management, LLC",2023-07-07,archive
Alfen N.V.,NL0012817175,0.57,Citadel Advisors LLC,2023-07-07,archive
Wereldhave N.V.,NL0000289213,0.77,Eleva Capital SAS,2023-07-07,archive
Alfen N.V.,NL0012817175,0.92,Qube Research & Technologies Ltd.,2023-07-07,archive
Galapagos NV,BE0003818359,0.59,Qube Research & Technologies Ltd.,2023-07-07,archive
Alfen N.V.,NL0012817175,0.5,Walleye Capital LLC,2023-07-07,archive
Alfen N.V.,NL0012817175,0.81,"WorldQuant, LLC",2023-07-07,archive
Alfen N.V.,NL0012817175,0.66,Citadel Advisors LLC,2023-07-06,archive
Alfen N.V.,NL0012817175,0.58,Kuvari Partners LLP,2023-07-06,archive
Alfen N.V.,NL0012817175,1.67,Marshall Wace LLP,2023-07-06,archive
Alfen N.V.,NL0012817175,0.55,Millennium International Management LP,2023-07-06,archive
Alfen N.V.,NL0012817175,0.88,Qube Research & Technologies Ltd.,2023-07-06,archive
Basic-Fit N.V.,NL0011872650,0.5,ShadowFall Capital & Research LLP,2023-07-06,archive
Galapagos NV,BE0003818359,0.49,AHL Partners LLP,2023-07-05,archive
Basic-Fit N.V.,NL0011872650,2.62,BlackRock Investment Management (UK) Limited,2023-07-05,archive
Signify N.V.,NL0011821392,0.47,Citadel Advisors LLC,2023-07-05,archive
Wereldhave N.V.,NL0000289213,0.89,Eleva Capital SAS,2023-07-05,archive
Alfen N.V.,NL0012817175,2.12,JPMorgan Asset Management (UK) Ltd.,2023-07-05,archive
Randstad N.V.,NL0000379121,0.59,Marshall Wace LLP,2023-07-05,archive
BE Semiconductor Industries N.V.,NL0012866412,0.6,Millennium Capital Management France SAS,2023-07-05,archive
Aperam S.A.,LU0569974404,0.5,"ExodusPoint Capital Management, LP",2023-07-04,archive
Signify N.V.,NL0011821392,0.54,Citadel Advisors LLC,2023-07-03,archive
Aperam S.A.,LU0569974404,0.49,Millennium International Management LP,2023-07-03,archive
PostNL N.V.,NL0009739416,0.6,Qube Research & Technologies Ltd.,2023-07-03,archive
Wereldhave N.V.,NL0000289213,1.26,Toscafund Asset Management LLP,2023-07-03,archive
Pharming Group N.V.,NL0010391025,0.69,"WorldQuant, LLC",2023-07-03,archive
Alfen N.V.,NL0012817175,1.56,Marshall Wace LLP,2023-06-30,archive
Aperam S.A.,LU0569974404,0.55,Millennium Capital Partners LLP,2023-06-30,archive
Aperam S.A.,LU0569974404,0.53,Millennium International Management LP,2023-06-30,archive
Alfen N.V.,NL0012817175,0.65,Qube Research & Technologies Ltd.,2023-06-30,archive
Qiagen N.V.,NL0012169213,0.58,"Tenor Capital Management Company, L.P.",2023-06-30,archive
Alfen N.V.,NL0012817175,0.47,Citadel Advisors LLC,2023-06-29,archive
Alfen N.V.,NL0012817175,0.7,Qube Research & Technologies Ltd.,2023-06-29,archive
Alfen N.V.,NL0012817175,0.57,Voleon Capital Management LP,2023-06-29,archive
Pharming Group N.V.,NL0010391025,0.73,"WorldQuant, LLC",2023-06-29,archive
Alfen N.V.,NL0012817175,0.55,Citadel Advisors LLC,2023-06-28,archive
Vivoryon Therapeutics N.V.,NL00150002Q7,0.81,Janus Henderson Investors UK Limited,2023-06-28,archive
Koninklijke BAM Groep N.V.,NL0000337319,0.57,Marshall Wace LLP,2023-06-28,archive
Randstad N.V.,NL0000379121,0.61,Marshall Wace LLP,2023-06-28,archive
Alfen N.V.,NL0012817175,0.69,Qube Research & Technologies Ltd.,2023-06-28,archive
Galapagos NV,BE0003818359,0.6,Qube Research & Technologies Ltd.,2023-06-28,archive
Alfen N.V.,NL0012817175,0.76,"WorldQuant, LLC",2023-06-28,archive
BE Semiconductor Industries N.V.,NL0012866412,0.57,Millennium Capital Management France SAS,2023-06-27,archive
AMG Critical Materials N.V.,NL0000888691,0.49,Millennium Capital Partners LLP,2023-06-27,archive
Pharming Group N.V.,NL0010391025,0.63,"WorldQuant, LLC",2023-06-27,archive
Koninklijke Philips N.V.,NL0000009538,0.48,Greenvale Capital LLP,2023-06-26,archive
Vivoryon Therapeutics N.V.,NL00150002Q7,0.7,Janus Henderson Investors UK Limited,2023-06-26,archive
Alfen N.V.,NL0012817175,0.7,Qube Research & Technologies Ltd.,2023-06-26,archive
Alfen N.V.,NL0012817175,0.61,Citadel Advisors LLC,2023-06-23,archive
Koninklijke Philips N.V.,NL0000009538,0.47,Citadel Advisors LLC,2023-06-23,archive
Alfen N.V.,NL0012817175,0.5,"D. E. Shaw & Co., L.P.",2023-06-23,archive
Koninklijke Philips N.V.,NL0000009538,0.55,Greenvale Capital LLP,2023-06-23,archive
Alfen N.V.,NL0012817175,0.74,Kuvari Partners LLP,2023-06-23,archive
Alfen N.V.,NL0012817175,0.58,Squarepoint Ops LLC,2023-06-23,archive
Alfen N.V.,NL0012817175,0.8,"WorldQuant, LLC",2023-06-23,archive
Pharming Group N.V.,NL0010391025,0.5,"WorldQuant, LLC",2023-06-23,archive
Alfen N.V.,NL0012817175,0.48,"D. E. Shaw & Co., L.P.",2023-06-22,archive
Koninklijke Philips N.V.,NL0000009538,0.67,Greenvale Capital LLP,2023-06-22,archive
Vivoryon Therapeutics N.V.,NL00150002Q7,0.59,Janus Henderson Investors UK Limited,2023-06-22,archive
Alfen N.V.,NL0012817175,0.6,Squarepoint Ops LLC,2023-06-22,archive
Alfen N.V.,NL0012817175,0.5,"D. E. Shaw & Co., L.P.",2023-06-21,archive
AMG Critical Materials N.V.,NL0000888691,0.52,Millennium Capital Partners LLP,2023-06-21,archive
Alfen N.V.,NL0012817175,0.79,"WorldQuant, LLC",2023-06-21,archive
Koninklijke Philips N.V.,NL0000009538,0.57,Citadel Advisors LLC,2023-06-20,archive
Pharming Group N.V.,NL0010391025,0.77,Citadel Advisors LLC,2023-06-20,archive
Alfen N.V.,NL0012817175,0.6,Kuvari Partners LLP,2023-06-20,archive
Randstad N.V.,NL0000379121,0.51,Marshall Wace LLP,2023-06-20,archive
BE Semiconductor Industries N.V.,NL0012866412,0.61,Millennium Capital Management France SAS,2023-06-20,archive
BE Semiconductor Industries N.V.,NL0012866412,0.36,"Point72 Europe (London), LLP",2023-06-20,archive
Alfen N.V.,NL0012817175,0.59,Squarepoint Ops LLC,2023-06-20,archive
Alfen N.V.,NL0012817175,0.52,Kuvari Partners LLP,2023-06-19,archive
BE Semiconductor Industries N.V.,NL0012866412,0.51,"Point72 Europe (London), LLP",2023-06-19,archive
AMG Critical Materials N.V.,NL0000888691,0.46,Millennium International Management LP,2023-06-16,archive
AMG Critical Materials N.V.,NL0000888691,0.43,Qube Research & Technologies Ltd.,2023-06-16,archive
PostNL N.V.,NL0009739416,0.5,Qube Research & Technologies Ltd.,2023-06-16,archive
Alfen N.V.,NL0012817175,0.61,Squarepoint Ops LLC,2023-06-16,archive
AMG Critical Materials N.V.,NL0000888691,0.49,Millennium Capital Partners LLP,2023-06-15,archive
Aperam S.A.,LU0569974404,0.62,Millennium Capital Partners LLP,2023-06-15,archive
Alfen N.V.,NL0012817175,0.69,Qube Research & Technologies Ltd.,2023-06-15,archive
Galapagos NV,BE0003818359,0.59,Qube Research & Technologies Ltd.,2023-06-15,archive
PostNL N.V.,NL0009739416,0.47,Qube Research & Technologies Ltd.,2023-06-15,archive
Alfen N.V.,NL0012817175,2.05,JPMorgan Asset Management (UK) Ltd.,2023-06-14,archive
Randstad N.V.,NL0000379121,0.49,Marshall Wace LLP,2023-06-14,archive
PostNL N.V.,NL0009739416,0.56,Qube Research & Technologies Ltd.,2023-06-14,archive
Koninklijke Philips N.V.,NL0000009538,0.69,Citadel Advisors LLC,2023-06-13,archive
Pharming Group N.V.,NL0010391025,0.8,Citadel Advisors LLC,2023-06-13,archive
BE Semiconductor Industries N.V.,NL0012866412,0.8,"Davidson Kempner European Partners, LLP",2023-06-13,archive
Alfen N.V.,NL0012817175,1.91,JPMorgan Asset Management (UK) Ltd.,2023-06-13,archive
AMG Critical Materials N.V.,NL0000888691,0.57,Millennium International Management LP,2023-06-13,archive
Aperam S.A.,LU0569974404,0.6,Millennium International Management LP,2023-06-13,archive
TomTom N.V.,NL0013332471,1.0,Otus Capital Management Ltd.,2023-06-13,archive
AMG Critical Materials N.V.,NL0000888691,0.5,Qube Research & Technologies Ltd.,2023-06-13,archive
Galapagos NV,BE0003818359,1.6,"Arrowstreet Capital, Limited Partnership",2023-06-12,archive
Pharming Group N.V.,NL0010391025,0.78,Citadel Advisors LLC,2023-06-12,archive
Alfen N.V.,NL0012817175,0.49,"D. E. Shaw & Co., L.P.",2023-06-12,archive
Alfen N.V.,NL0012817175,1.82,JPMorgan Asset Management (UK) Ltd.,2023-06-12,archive
Alfen N.V.,NL0012817175,0.77,Qube Research & Technologies Ltd.,2023-06-12,archive
AMG Critical Materials N.V.,NL0000888691,0.48,Qube Research & Technologies Ltd.,2023-06-12,archive
Qiagen N.V.,NL0012169213,0.63,"Tenor Capital Management Company, L.P.",2023-06-12,archive
Alfen N.V.,NL0012817175,0.81,"WorldQuant, LLC",2023-06-12,archive
AMG Critical Materials N.V.,NL0000888691,0.5,Qube Research & Technologies Ltd.,2023-06-09,archive
Alfen N.V.,NL0012817175,1.31,"Arrowstreet Capital, Limited Partnership",2023-06-08,archive
Alfen N.V.,NL0012817175,1.62,JPMorgan Asset Management (UK) Ltd.,2023-06-08,archive
Randstad N.V.,NL0000379121,0.5,Marshall Wace LLP,2023-06-08,archive
Qiagen N.V.,NL0012169213,0.51,"Tenor Capital Management Company, L.P.",2023-06-08,archive
Alfen N.V.,NL0012817175,0.79,"WorldQuant, LLC",2023-06-08,archive
Pharming Group N.V.,NL0010391025,0.8,Citadel Advisors LLC,2023-06-07,archive
Alfen N.V.,NL0012817175,0.51,"D. E. Shaw & Co., L.P.",2023-06-07,archive
BE Semiconductor Industries N.V.,NL0012866412,0.79,"Davidson Kempner European Partners, LLP",2023-06-07,archive
Alfen N.V.,NL0012817175,1.51,JPMorgan Asset Management (UK) Ltd.,2023-06-07,archive
Alfen N.V.,NL0012817175,1.63,Marshall Wace LLP,2023-06-07,archive
BE Semiconductor Industries N.V.,NL0012866412,0.57,Millennium Capital Management France SAS,2023-06-07,archive
BE Semiconductor Industries N.V.,NL0012866412,0.33,"Point72 Asset Management, L.P.",2023-06-07,archive
BE Semiconductor Industries N.V.,NL0012866412,0.61,"Point72 Europe (London), LLP",2023-06-07,archive
Pharming Group N.V.,NL0010391025,0.77,Citadel Advisors LLC,2023-06-06,archive
BE Semiconductor Industries N.V.,NL0012866412,0.68,"Point72 Asset Management, L.P.",2023-06-06,archive
BE Semiconductor Industries N.V.,NL0012866412,0.53,"Point72 Europe (London), LLP",2023-06-06,archive
Alfen N.V.,NL0012817175,0.88,"WorldQuant, LLC",2023-06-06,archive
Alfen N.V.,NL0012817175,0.5,Citadel Advisors LLC,2023-06-05,archive
AMG Critical Materials N.V.,NL0000888691,0.49,Citadel Advisors LLC,2023-06-05,archive
BE Semiconductor Industries N.V.,NL0012866412,0.81,"Point72 Asset Management, L.P.",2023-06-05,archive
Basic-Fit N.V.,NL0011872650,2.52,BlackRock Investment Management (UK) Limited,2023-06-02,archive
TomTom N.V.,NL0013332471,0.9,Otus Capital Management Ltd.,2023-06-02,archive
BE Semiconductor Industries N.V.,NL0012866412,0.94,"Point72 Asset Management, L.P.",2023-06-02,archive
Basic-Fit N.V.,NL0011872650,0.5,"Arrowstreet Capital, Limited Partnership",2023-06-01,archive
Pharming Group N.V.,NL0010391025,0.86,Citadel Advisors LLC,2023-06-01,archive
BE Semiconductor Industries N.V.,NL0012866412,1.03,"Point72 Asset Management, L.P.",2023-06-01,archive
Alfen N.V.,NL0012817175,0.91,"WorldQuant, LLC",2023-06-01,archive
Galapagos NV,BE0003818359,1.5,"Arrowstreet Capital, Limited Partnership",2023-05-31,archive
Koninklijke BAM Groep N.V.,NL0000337319,0.61,Marshall Wace LLP,2023-05-31,archive
AMG Critical Materials N.V.,NL0000888691,0.62,Millennium International Management LP,2023-05-31,archive
BE Semiconductor Industries N.V.,NL0012866412,1.19,"Point72 Asset Management, L.P.",2023-05-31,archive
PostNL N.V.,NL0009739416,0.65,Qube Research & Technologies Ltd.,2023-05-31,archive
Galapagos NV,BE0003818359,0.5,AHL Partners LLP,2023-05-30,archive
Pharming Group N.V.,NL0010391025,0.92,Citadel Advisors LLC,2023-05-30,archive
TomTom N.V.,NL0013332471,0.82,Otus Capital Management Ltd.,2023-05-30,archive
BE Semiconductor Industries N.V.,NL0012866412,1.24,"Point72 Asset Management, L.P.",2023-05-30,archive
Alfen N.V.,NL0012817175,0.85,"WorldQuant, LLC",2023-05-30,archive
BE Semiconductor Industries N.V.,NL0012866412,1.39,"Point72 Asset Management, L.P.",2023-05-29,archive
Pharming Group N.V.,NL0010391025,0.44,"WorldQuant, LLC",2023-05-29,archive
