issuer_name,position_holder,net_short_position,isin,position_date,source
Ebusco Holding N.V.,Qube Research & Technologies Ltd.,0.5,NL0015000CZ2,2024-05-24,archive
SBM Offshore N.V.,Balyasny Asset Management (UK) LLP,0.63,NL0000360618,2024-05-23,archive
Alfen N.V.,Citadel Advisors LLC,0.85,NL0012817175,2024-05-23,archive
Pharming Group N.V.,Citadel Advisors LLC,0.77,NL0010391025,2024-05-23,archive
ArcelorMittal S.A.,Marshall Wace LLP,1.01,LU1598757687,2024-05-23,archive
Alfen N.V.,Millennium International Management LP,1.23,NL0012817175,2024-05-23,archive
Alfen N.V.,"PDT Partners, LLC",1.07,NL0012817175,2024-05-23,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2.03,NL0012817175,2024-05-23,archive
OCI N.V.,Qube Research & Technologies Ltd.,0.59,NL0010558797,2024-05-23,archive
Alfen N.V.,Voleon Capital Management LP,0.89,NL0012817175,2024-05-23,archive
Fugro N.V.,Balyasny Asset Management (UK) LLP,0.89,NL00150003E1,2024-05-22,archive
Basic-Fit N.V.,Franklin Templeton Investment Management Limited,0.53,NL0011872650,2024-05-22,archive
Wolters Kluwer N.V.,Marshall Wace LLP,0.59,NL0000395903,2024-05-22,archive
Alfen N.V.,Millennium International Management LP,1.01,NL0012817175,2024-05-22,archive
Pharming Group N.V.,Millennium International Management LP,1.33,NL0010391025,2024-05-22,archive
Vivoryon Therapeutics N.V.,Millennium International Management LP,1.17,NL00150002Q7,2024-05-22,archive
Alfen N.V.,"BlackRock Advisors, LLC",0.71,NL0012817175,2024-05-21,archive
Alfen N.V.,Citadel Advisors LLC,0.92,NL0012817175,2024-05-21,archive
Alfen N.V.,JPMorgan Asset Management (UK) Ltd.,0.9,NL0012817175,2024-05-21,archive
Alfen N.V.,Marshall Wace LLP,0.72,NL0012817175,2024-05-21,archive
Alfen N.V.,Millennium International Management LP,0.87,NL0012817175,2024-05-21,archive
Flow Traders Ltd.,Millennium International Management LP,0.46,NL0011279492,2024-05-21,archive
Alfen N.V.,"PDT Partners, LLC",1.15,NL0012817175,2024-05-21,archive
Alfen N.V.,Qube Research & Technologies Ltd.,2.23,NL0012817175,2024-05-21,archive
Flow Traders Ltd.,Qube Research & Technologies Ltd.,1.01,BMG3602E1084,2024-05-21,archive
OCI N.V.,Qube Research & Technologies Ltd.,0.6,NL0010558797,2024-05-21,archive
Alfen N.V.,Voleon Capital Management LP,0.95,NL0012817175,2024-05-21,archive
Alfen N.V.,Wellington Management International Ltd.,0.48,NL0012817175,2024-05-21,archive
SBM Offshore N.V.,Balyasny Asset Management (UK) LLP,0.55,NL0000360618,2024-05-20,archive
AMG Critical Materials N.V.,"BlackRock Advisors, LLC",0.62,NL0000888691,2024-05-20,archive
Pharming Group N.V.,Citadel Advisors LLC,0.88,NL0010391025,2024-05-20,archive
Alfen N.V.,Millennium International Management LP,0.73,NL0012817175,2024-05-20,archive
TomTom N.V.,"WorldQuant, LLC",0.69,NL0013332471,2024-05-20,archive
Alfen N.V.,Citadel Advisors LLC,0.51,NL0012817175,2024-05-17,archive
Alfen N.V.,Millennium International Management LP,0.86,NL0012817175,2024-05-17,archive
Flow Traders Ltd.,Millennium International Management LP,0.73,NL0011279492,2024-05-17,archive
Alfen N.V.,"PDT Partners, LLC",1.09,NL0012817175,2024-05-17,archive
DSM-Firmenich AG,"AQR Capital Management, LLC",0.49,CH1216478797,2024-05-16,archive
Alfen N.V.,"BlackRock Advisors, LLC",0.61,NL0012817175,2024-05-16,archive
Basic-Fit N.V.,Citadel Advisors LLC,0.47,NL0011872650,2024-05-16,archive
Aperam S.A.,JPMorgan Asset Management (UK) Ltd.,0.67,LU0569974404,2024-05-16,archive
TomTom N.V.,"WorldQuant, LLC",0.71,NL0013332471,2024-05-16,archive
Flow Traders Ltd.,Millennium International Management LP,0.62,NL0011279492,2024-05-15,archive
Pharming Group N.V.,Millennium International Management LP,1.23,NL0010391025,2024-05-15,archive
Vivoryon Therapeutics N.V.,Millennium International Management LP,1.29,NL00150002Q7,2024-05-15,archive
Alfen N.V.,Qube Research & Technologies Ltd.,1.56,NL0012817175,2024-05-15,archive
Flow Traders Ltd.,Qube Research & Technologies Ltd.,0.99,BMG3602E1084,2024-05-15,archive
OCI N.V.,Qube Research & Technologies Ltd.,0.59,NL0010558797,2024-05-15,archive
Alfen N.V.,Voleon Capital Management LP,0.8,NL0012817175,2024-05-15,archive
AMG Critical Materials N.V.,"WorldQuant, LLC",0.51,NL0000888691,2024-05-15,archive
Alfen N.V.,"BlackRock Advisors, LLC",0.53,NL0012817175,2024-05-14,archive
AMG Critical Materials N.V.,"BlackRock Advisors, LLC",0.52,NL0000888691,2024-05-14,archive
Flow Traders Ltd.,Capital Fund Management S.A.,0.48,BMG3602E1084,2024-05-14,archive
PostNL N.V.,Marshall Wace LLP,1.49,NL0009739416,2024-05-14,archive
Alfen N.V.,Millennium International Management LP,0.74,NL0012817175,2024-05-14,archive
Alfen N.V.,Qube Research & Technologies Ltd.,1.43,NL0012817175,2024-05-14,archive
Basic-Fit N.V.,Wellington Management International Ltd.,0.47,NL0011872650,2024-05-14,archive
IMCD N.V.,"AQR Capital Management, LLC",0.61,NL0010801007,2024-05-13,archive
Alfen N.V.,Marshall Wace LLP,0.61,NL0012817175,2024-05-13,archive
ArcelorMittal S.A.,Marshall Wace LLP,0.9,LU1598757687,2024-05-13,archive
Flow Traders Ltd.,Marshall Wace LLP,0.46,BMG3602E1084,2024-05-13,archive
Vivoryon Therapeutics N.V.,Millennium International Management LP,1.35,NL00150002Q7,2024-05-13,archive
Alfen N.V.,Voleon Capital Management LP,0.79,NL0012817175,2024-05-13,archive
Pharming Group N.V.,Citadel Advisors LLC,0.99,NL0010391025,2024-05-10,archive
AMG Critical Materials N.V.,Marshall Wace LLP,1.61,NL0000888691,2024-05-10,archive
Alfen N.V.,Millennium International Management LP,0.88,NL0012817175,2024-05-10,archive
Alfen N.V.,Qube Research & Technologies Ltd.,1.27,NL0012817175,2024-05-10,archive
Flow Traders Ltd.,Qube Research & Technologies Ltd.,1.09,BMG3602E1084,2024-05-10,archive
Koninklijke Philips N.V.,Citadel Advisors LLC,0.45,NL0000009538,2024-05-09,archive
Pharming Group N.V.,Citadel Advisors LLC,1.01,NL0010391025,2024-05-09,archive
Flow Traders Ltd.,Marshall Wace LLP,0.56,BMG3602E1084,2024-05-09,archive
PostNL N.V.,Marshall Wace LLP,1.51,NL0009739416,2024-05-09,archive
Basic-Fit N.V.,Qube Research & Technologies Ltd.,0.49,NL0011872650,2024-05-09,archive
Ebusco Holding N.V.,Qube Research & Technologies Ltd.,0.49,NL0015000CZ2,2024-05-09,archive
Alfen N.V.,Voleon Capital Management LP,0.89,NL0012817175,2024-05-09,archive
TomTom N.V.,"WorldQuant, LLC",0.6,NL0013332471,2024-05-09,archive
Pharming Group N.V.,Citadel Advisors LLC,0.95,NL0010391025,2024-05-08,archive
ASR Nederland N.V.,Marshall Wace LLP,0.68,NL0011872643,2024-05-08,archive
NEPI Rockcastle N.V.,Marshall Wace LLP,0.47,NL0015000RT3,2024-05-08,archive
TomTom N.V.,Marshall Wace LLP,1.1,NL0013332471,2024-05-08,archive
Pharming Group N.V.,Millennium International Management LP,1.11,NL0010391025,2024-05-08,archive
Alfen N.V.,Qube Research & Technologies Ltd.,1.3,NL0012817175,2024-05-08,archive
Basic-Fit N.V.,Citadel Advisors LLC,0.58,NL0011872650,2024-05-07,archive
Pharming Group N.V.,Citadel Advisors LLC,0.85,NL0010391025,2024-05-07,archive
PostNL N.V.,JPMorgan Asset Management (UK) Ltd.,0.37,NL0009739416,2024-05-07,archive
Flow Traders Ltd.,Marshall Wace LLP,0.64,BMG3602E1084,2024-05-07,archive
Alfen N.V.,Millennium International Management LP,0.95,NL0012817175,2024-05-07,archive
OCI N.V.,Qube Research & Technologies Ltd.,0.69,NL0010558797,2024-05-07,archive
Alfen N.V.,Wellington Management International Ltd.,0.52,NL0012817175,2024-05-07,archive
Basic-Fit N.V.,Wellington Management International Ltd.,0.51,NL0011872650,2024-05-07,archive
Koninklijke Philips N.V.,Citadel Advisors LLC,0.58,NL0000009538,2024-05-06,archive
Pharming Group N.V.,Citadel Securities (Europe) Limited,0.53,NL0010391025,2024-05-06,archive
Koninklijke Philips N.V.,Marshall Wace LLP,0.57,NL0000009538,2024-05-06,archive
Alfen N.V.,Qube Research & Technologies Ltd.,1.27,NL0012817175,2024-05-06,archive
ArcelorMittal S.A.,Citadel Advisors LLC,0.49,LU1598757687,2024-05-03,archive
Pharming Group N.V.,Citadel Advisors LLC,0.99,NL0010391025,2024-05-03,archive
AMG Critical Materials N.V.,Marshall Wace LLP,1.57,NL0000888691,2024-05-03,archive
Alfen N.V.,Millennium International Management LP,1.08,NL0012817175,2024-05-03,archive
OCI N.V.,Qube Research & Technologies Ltd.,0.7,NL0010558797,2024-05-03,archive
Alfen N.V.,Citadel Advisors LLC,0.48,NL0012817175,2024-05-02,archive
ArcelorMittal S.A.,Citadel Advisors LLC,0.5,LU1598757687,2024-05-02,archive
Basic-Fit N.V.,Citadel Advisors LLC,0.61,NL0011872650,2024-05-02,archive
ArcelorMittal S.A.,Marshall Wace LLP,0.82,LU1598757687,2024-05-02,archive
Flow Traders Ltd.,Marshall Wace LLP,0.79,BMG3602E1084,2024-05-02,archive
TomTom N.V.,Otus Capital Management Ltd.,0.66,NL0013332471,2024-05-02,archive
TomTom N.V.,"WorldQuant, LLC",0.5,NL0013332471,2024-05-02,archive
Signify N.V.,AKO Capital LLP,1.33,NL0011821392,2024-04-30,archive
OCI N.V.,"Arrowstreet Capital, Limited Partnership",0.5,NL0010558797,2024-04-30,archive
Alfen N.V.,Citadel Advisors LLC,0.55,NL0012817175,2024-04-30,archive
Alfen N.V.,"Connor, Clark & Lunn Investment Management Ltd.",0.61,NL0012817175,2024-04-30,archive
Alfen N.V.,Marshall Wace LLP,0.59,NL0012817175,2024-04-30,archive
Koninklijke Philips N.V.,Marshall Wace LLP,0.62,NL0000009538,2024-04-30,archive
Alfen N.V.,Millennium International Management LP,1.1,NL0012817175,2024-04-30,archive
TomTom N.V.,Otus Capital Management Ltd.,0.72,NL0013332471,2024-04-30,archive
Alfen N.V.,Qube Research & Technologies Ltd.,1.11,NL0012817175,2024-04-30,archive
Ebusco Holding N.V.,Qube Research & Technologies Ltd.,0.59,NL0015000CZ2,2024-04-30,archive
Flow Traders Ltd.,Qube Research & Technologies Ltd.,1.19,BMG3602E1084,2024-04-30,archive
Alfen N.V.,Voleon Capital Management LP,0.93,NL0012817175,2024-04-30,archive
Corbion N.V.,BlackRock Investment Management (UK) Limited,0.81,NL0010583399,2024-04-29,archive
Alfen N.V.,Citadel Advisors LLC,0.43,NL0012817175,2024-04-29,archive
Koninklijke Philips N.V.,Citadel Advisors LLC,0.66,NL0000009538,2024-04-29,archive
Pharming Group N.V.,Citadel Advisors LLC,1.17,NL0010391025,2024-04-29,archive
Alfen N.V.,Citadel Securities (Europe) Limited,0.48,NL0012817175,2024-04-29,archive
AMG Critical Materials N.V.,"D. E. Shaw & Co., L.P.",0.77,NL0000888691,2024-04-29,archive
Koninklijke Philips N.V.,Greenvale Capital LLP,0.44,NL0000009538,2024-04-29,archive
Koninklijke Philips N.V.,Ilex Capital Partners (UK) LLP,0.37,NL0000009538,2024-04-29,archive
Alfen N.V.,Marshall Wace LLP,0.64,NL0012817175,2024-04-29,archive
Flow Traders Ltd.,Marshall Wace LLP,0.89,BMG3602E1084,2024-04-29,archive
Koninklijke Philips N.V.,Marshall Wace LLP,0.72,NL0000009538,2024-04-29,archive
NEPI Rockcastle N.V.,Marshall Wace LLP,0.59,NL0015000RT3,2024-04-29,archive
TomTom N.V.,Marshall Wace LLP,1.08,NL0013332471,2024-04-29,archive
Alfen N.V.,Millennium International Management LP,1.33,NL0012817175,2024-04-29,archive
TomTom N.V.,Otus Capital Management Ltd.,0.86,NL0013332471,2024-04-29,archive
Alfen N.V.,"PDT Partners, LLC",1.15,NL0012817175,2024-04-29,archive
Alfen N.V.,Qube Research & Technologies Ltd.,0.99,NL0012817175,2024-04-29,archive
Signify N.V.,AKO Capital LLP,1.22,NL0011821392,2024-04-26,archive
Basic-Fit N.V.,BlackRock Investment Management (UK) Limited,2.7,NL0011872650,2024-04-26,archive
Corbion N.V.,BlackRock Investment Management (UK) Limited,0.61,NL0010583399,2024-04-26,archive
Alfen N.V.,Citadel Advisors LLC,0.59,NL0012817175,2024-04-26,archive
Basic-Fit N.V.,Citadel Advisors LLC,0.51,NL0011872650,2024-04-26,archive
Alfen N.V.,Citadel Securities (Europe) Limited,0.5,NL0012817175,2024-04-26,archive
AMG Critical Materials N.V.,"D. E. Shaw & Co., L.P.",0.8,NL0000888691,2024-04-26,archive
Pharming Group N.V.,Highbridge Capital Management LLC,1.14,NL0010391025,2024-04-26,archive
Koninklijke Philips N.V.,Ilex Capital Partners (UK) LLP,0.51,NL0000009538,2024-04-26,archive
AMG Critical Materials N.V.,Marshall Wace LLP,1.69,NL0000888691,2024-04-26,archive
Pharming Group N.V.,Millennium International Management LP,1.09,NL0010391025,2024-04-26,archive
Alfen N.V.,Qube Research & Technologies Ltd.,0.73,NL0012817175,2024-04-26,archive
Basic-Fit N.V.,Qube Research & Technologies Ltd.,0.57,NL0011872650,2024-04-26,archive
SBM Offshore N.V.,Qube Research & Technologies Ltd.,0.48,NL0000360618,2024-04-26,archive
Alfen N.V.,Citadel Advisors LLC,0.6,NL0012817175,2024-04-25,archive
TomTom N.V.,Citadel Advisors LLC,0.49,NL0013332471,2024-04-25,archive
Alfen N.V.,Citadel Securities (Europe) Limited,0.6,NL0012817175,2024-04-25,archive
Flow Traders Ltd.,Marshall Wace LLP,0.98,BMG3602E1084,2024-04-25,archive
TomTom N.V.,Marshall Wace LLP,1.1,NL0013332471,2024-04-25,archive
Pharming Group N.V.,Millennium International Management LP,1.1,NL0010391025,2024-04-25,archive
TomTom N.V.,Otus Capital Management Ltd.,0.97,NL0013332471,2024-04-25,archive
Alfen N.V.,Qube Research & Technologies Ltd.,0.84,NL0012817175,2024-04-25,archive
Flow Traders Ltd.,Qube Research & Technologies Ltd.,1.28,BMG3602E1084,2024-04-25,archive
Signify N.V.,AKO Capital LLP,1.43,NL0011821392,2024-04-24,archive
Pharming Group N.V.,Citadel Advisors LLC,1.28,NL0010391025,2024-04-24,archive
Alfen N.V.,Citadel Securities (Europe) Limited,0.59,NL0012817175,2024-04-24,archive
BE Semiconductor Industries N.V.,GLG Partners LP,0.26,NL0012866412,2024-04-24,archive
Vivoryon Therapeutics N.V.,GSA Capital Partners LLP,0.33,NL00150002Q7,2024-04-24,archive
AMG Critical Materials N.V.,Marshall Wace LLP,1.71,NL0000888691,2024-04-24,archive
PostNL N.V.,Marshall Wace LLP,1.41,NL0009739416,2024-04-24,archive
NX Filtration N.V.,Otus Capital Management Ltd.,0.48,NL0015000D50,2024-04-24,archive
TomTom N.V.,Otus Capital Management Ltd.,1.06,NL0013332471,2024-04-24,archive
Pharming Group N.V.,Palmerston Capital Management LLP,0.49,NL0010391025,2024-04-24,archive
Flow Traders Ltd.,Qube Research & Technologies Ltd.,1.13,BMG3602E1084,2024-04-24,archive
Alfen N.V.,Systematica Investments Limited,0.5,NL0012817175,2024-04-24,archive
Koninklijke Philips N.V.,Viking Global Investors LP,0.44,NL0000009538,2024-04-24,archive
Randstad N.V.,AKO Capital LLP,0.98,NL0000379121,2024-04-23,archive
Corbion N.V.,BlackRock Investment Management (UK) Limited,0.51,NL0010583399,2024-04-23,archive
Alfen N.V.,Citadel Advisors LLC,0.51,NL0012817175,2024-04-23,archive
Koninklijke Philips N.V.,Citadel Advisors LLC,1.08,NL0000009538,2024-04-23,archive
Alfen N.V.,Citadel Securities (Europe) Limited,0.6,NL0012817175,2024-04-23,archive
Pharming Group N.V.,Citadel Securities (Europe) Limited,0.6,NL0010391025,2024-04-23,archive
BE Semiconductor Industries N.V.,"Davidson Kempner European Partners, LLP",0.16,NL0012866412,2024-04-23,archive
Pharming Group N.V.,Highbridge Capital Management LLC,1.0,NL0010391025,2024-04-23,archive
Flow Traders Ltd.,Marshall Wace LLP,1.08,BMG3602E1084,2024-04-23,archive
Koninklijke Philips N.V.,Marshall Wace LLP,0.83,NL0000009538,2024-04-23,archive
NEPI Rockcastle N.V.,Marshall Wace LLP,0.65,NL0015000RT3,2024-04-23,archive
Pharming Group N.V.,Millennium International Management LP,1.09,NL0010391025,2024-04-23,archive
TomTom N.V.,Otus Capital Management Ltd.,1.21,NL0013332471,2024-04-23,archive
Alfen N.V.,Qube Research & Technologies Ltd.,0.78,NL0012817175,2024-04-23,archive
Koninklijke Philips N.V.,Viking Global Investors LP,0.54,NL0000009538,2024-04-23,archive
Flow Traders Ltd.,Canada Pension Plan Investment Board,0.57,BMG3602E1084,2024-04-22,archive
TomTom N.V.,Citadel Advisors LLC,0.53,NL0013332471,2024-04-22,archive
ASR Nederland N.V.,Marshall Wace LLP,0.79,NL0011872643,2024-04-22,archive
NEPI Rockcastle N.V.,Marshall Wace LLP,0.59,NL0015000RT3,2024-04-22,archive
Alfen N.V.,Millennium International Management LP,1.68,NL0012817175,2024-04-22,archive
Pharming Group N.V.,Millennium International Management LP,1.1,NL0010391025,2024-04-22,archive
Pharming Group N.V.,Citadel Advisors LLC,1.33,NL0010391025,2024-04-19,archive
Alfen N.V.,Citadel Securities (Europe) Limited,0.53,NL0012817175,2024-04-19,archive
Alfen N.V.,Marshall Wace LLP,0.71,NL0012817175,2024-04-19,archive
Flow Traders Ltd.,Marshall Wace LLP,1.11,BMG3602E1084,2024-04-19,archive
Alfen N.V.,Millennium International Management LP,1.75,NL0012817175,2024-04-19,archive
Pharming Group N.V.,Millennium International Management LP,1.07,NL0010391025,2024-04-19,archive
Pharming Group N.V.,Palmerston Capital Management LLP,0.5,NL0010391025,2024-04-19,archive
Alfen N.V.,Qube Research & Technologies Ltd.,0.87,NL0012817175,2024-04-19,archive
Pharming Group N.V.,Highbridge Capital Management LLC,0.94,NL0010391025,2024-04-18,archive
Alfen N.V.,Jupiter Investment Management Limited,0.49,NL0012817175,2024-04-18,archive
Alfen N.V.,Millennium International Management LP,1.8,NL0012817175,2024-04-18,archive
Pharming Group N.V.,Millennium International Management LP,1.18,NL0010391025,2024-04-18,archive
Alfen N.V.,"PDT Partners, LLC",1.01,NL0012817175,2024-04-18,archive
Alfen N.V.,Qube Research & Technologies Ltd.,0.95,NL0012817175,2024-04-18,archive
Flow Traders Ltd.,Qube Research & Technologies Ltd.,1.01,BMG3602E1084,2024-04-18,archive
SBM Offshore N.V.,Qube Research & Technologies Ltd.,0.5,NL0000360618,2024-04-18,archive
Fugro N.V.,TFG Asset Management UK LLP,0.62,NL0000352565,2024-04-18,archive
Alfen N.V.,Canada Pension Plan Investment Board,0.45,NL0012817175,2024-04-17,archive
Alfen N.V.,Citadel Advisors LLC,0.46,NL0012817175,2024-04-17,archive
Alfen N.V.,"Connor, Clark & Lunn Investment Management Ltd.",0.54,NL0012817175,2024-04-17,archive
Alfen N.V.,Marshall Wace LLP,0.6,NL0012817175,2024-04-17,archive
ArcelorMittal S.A.,Marshall Wace LLP,0.77,LU1598757687,2024-04-17,archive
NEPI Rockcastle N.V.,Marshall Wace LLP,0.68,NL0015000RT3,2024-04-17,archive
TomTom N.V.,Marshall Wace LLP,1.02,NL0013332471,2024-04-17,archive
Wolters Kluwer N.V.,Marshall Wace LLP,0.6,NL0000395903,2024-04-17,archive
Alfen N.V.,Millennium International Management LP,1.75,NL0012817175,2024-04-17,archive
Vivoryon Therapeutics N.V.,Millennium International Management LP,1.47,NL00150002Q7,2024-04-17,archive
Alfen N.V.,"PDT Partners, LLC",0.95,NL0012817175,2024-04-17,archive
Alfen N.V.,Qube Research & Technologies Ltd.,1.01,NL0012817175,2024-04-17,archive
Alfen N.V.,Voleon Capital Management LP,0.87,NL0012817175,2024-04-17,archive
Alfen N.V.,Wellington Management International Ltd.,0.48,NL0012817175,2024-04-17,archive
SBM Offshore N.V.,Balyasny Asset Management (UK) LLP,0.16,NL0000360618,2024-04-16,archive
Alfen N.V.,Citadel Advisors LLC,0.67,NL0012817175,2024-04-16,archive
Alfen N.V.,Citadel Securities (Europe) Limited,0.44,NL0012817175,2024-04-16,archive
Pharming Group N.V.,Citadel Securities (Europe) Limited,0.5,NL0010391025,2024-04-16,archive
Alfen N.V.,"Connor, Clark & Lunn Investment Management Ltd.",0.49,NL0012817175,2024-04-16,archive
AMG Critical Materials N.V.,Marshall Wace LLP,1.68,NL0000888691,2024-04-16,archive
Vivoryon Therapeutics N.V.,Millennium International Management LP,1.35,NL00150002Q7,2024-04-16,archive
Alfen N.V.,"PDT Partners, LLC",1.0,NL0012817175,2024-04-16,archive
Alfen N.V.,Qube Research & Technologies Ltd.,1.25,NL0012817175,2024-04-16,archive
SBM Offshore N.V.,Balyasny Asset Management (UK) LLP,0.53,NL0000360618,2024-04-15,archive
Alfen N.V.,Citadel Advisors LLC,0.76,NL0012817175,2024-04-15,archive
Alfen N.V.,Citadel Securities (Europe) Limited,0.57,NL0012817175,2024-04-15,archive
TomTom N.V.,Franklin Templeton Investment Management Limited,0.7,NL0013332471,2024-04-15,archive
Koninklijke Philips N.V.,Marshall Wace LLP,0.78,NL0000009538,2024-04-15,archive
Alfen N.V.,Millennium International Management LP,1.87,NL0012817175,2024-04-15,archive
Vivoryon Therapeutics N.V.,Millennium International Management LP,1.23,NL00150002Q7,2024-04-15,archive
Alfen N.V.,"PDT Partners, LLC",0.98,NL0012817175,2024-04-15,archive
Alfen N.V.,Qube Research & Technologies Ltd.,1.47,NL0012817175,2024-04-15,archive
Basic-Fit N.V.,Qube Research & Technologies Ltd.,0.6,NL0011872650,2024-04-15,archive
Alfen N.V.,Citadel Advisors LLC,0.8,NL0012817175,2024-04-12,archive
Pharming Group N.V.,Citadel Advisors LLC,1.47,NL0010391025,2024-04-12,archive
AMG Critical Materials N.V.,Marshall Wace LLP,1.7,NL0000888691,2024-04-12,archive
ASR Nederland N.V.,Marshall Wace LLP,0.86,NL0011872643,2024-04-12,archive
Vivoryon Therapeutics N.V.,Millennium International Management LP,1.12,NL00150002Q7,2024-04-12,archive
Alfen N.V.,"PDT Partners, LLC",0.81,NL0012817175,2024-04-12,archive
Alfen N.V.,Qube Research & Technologies Ltd.,1.73,NL0012817175,2024-04-12,archive
Ebusco Holding N.V.,Qube Research & Technologies Ltd.,0.6,NL0015000CZ2,2024-04-12,archive
Alfen N.V.,Walleye Capital LLC,0.49,NL0012817175,2024-04-12,archive
Alfen N.V.,Citadel Advisors LLC,0.78,NL0012817175,2024-04-11,archive
Alfen N.V.,Citadel Securities (Europe) Limited,0.48,NL0012817175,2024-04-11,archive
AMG Critical Materials N.V.,"D. E. Shaw & Co., L.P.",0.78,NL0000888691,2024-04-11,archive
Vivoryon Therapeutics N.V.,GSA Capital Partners LLP,0.71,NL00150002Q7,2024-04-11,archive
ArcelorMittal S.A.,Marshall Wace LLP,0.82,LU1598757687,2024-04-11,archive
Vivoryon Therapeutics N.V.,Millennium International Management LP,0.99,NL00150002Q7,2024-04-11,archive
Alfen N.V.,Millennium International Management LP,1.92,NL0012817175,2024-04-10,archive
Vivoryon Therapeutics N.V.,Millennium International Management LP,0.86,NL00150002Q7,2024-04-10,archive
Alfen N.V.,Qube Research & Technologies Ltd.,1.88,NL0012817175,2024-04-10,archive
Flow Traders Ltd.,Qube Research & Technologies Ltd.,0.9,BMG3602E1084,2024-04-10,archive
Alfen N.V.,Wellington Management International Ltd.,0.57,NL0012817175,2024-04-10,archive
Alfen N.V.,"WorldQuant, LLC",0.47,NL0012817175,2024-04-10,archive
Alfen N.V.,Citadel Advisors LLC,0.84,NL0012817175,2024-04-09,archive
Koninklijke Philips N.V.,Citadel Advisors LLC,0.91,NL0000009538,2024-04-09,archive
Alfen N.V.,Millennium International Management LP,1.87,NL0012817175,2024-04-09,archive
Vivoryon Therapeutics N.V.,Millennium International Management LP,0.74,NL00150002Q7,2024-04-09,archive
Alfen N.V.,Qube Research & Technologies Ltd.,1.93,NL0012817175,2024-04-09,archive
Alfen N.V.,Voleon Capital Management LP,0.92,NL0012817175,2024-04-09,archive
Alfen N.V.,Walleye Capital LLC,0.58,NL0012817175,2024-04-09,archive
Alfen N.V.,Citadel Securities (Europe) Limited,0.51,NL0012817175,2024-04-08,archive
AMG Critical Materials N.V.,Marshall Wace LLP,1.66,NL0000888691,2024-04-08,archive
Flow Traders Ltd.,Marshall Wace LLP,1.08,BMG3602E1084,2024-04-08,archive
Wolters Kluwer N.V.,Marshall Wace LLP,0.5,NL0000395903,2024-04-08,archive
Vivoryon Therapeutics N.V.,Millennium International Management LP,0.61,NL00150002Q7,2024-04-08,archive
Alfen N.V.,"PDT Partners, LLC",0.71,NL0012817175,2024-04-08,archive
Alfen N.V.,Qube Research & Technologies Ltd.,1.75,NL0012817175,2024-04-08,archive
Basic-Fit N.V.,Qube Research & Technologies Ltd.,0.52,NL0011872650,2024-04-08,archive
Alfen N.V.,Citadel Securities (Europe) Limited,0.49,NL0012817175,2024-04-05,archive
PostNL N.V.,Marshall Wace LLP,1.3,NL0009739416,2024-04-05,archive
SBM Offshore N.V.,Systematica Investments Limited,0.49,NL0000360618,2024-04-05,archive
Alfen N.V.,Walleye Capital LLC,0.61,NL0012817175,2024-04-05,archive
Pharming Group N.V.,Citadel Advisors LLC,1.5,NL0010391025,2024-04-04,archive
AMG Critical Materials N.V.,Marshall Wace LLP,1.75,NL0000888691,2024-04-04,archive
AMG Critical Materials N.V.,Marshall Wace LLP,1.8,NL0000888691,2024-04-03,archive
ArcelorMittal S.A.,Marshall Wace LLP,0.73,LU1598757687,2024-04-03,archive
Flow Traders Ltd.,Qube Research & Technologies Ltd.,0.82,BMG3602E1084,2024-04-03,archive
SBM Offshore N.V.,Qube Research & Technologies Ltd.,0.48,NL0000360618,2024-04-03,archive
Alfen N.V.,Citadel Securities (Europe) Limited,0.54,NL0012817175,2024-04-02,archive
AMG Critical Materials N.V.,"D. E. Shaw & Co., L.P.",0.89,NL0000888691,2024-04-02,archive
ASR Nederland N.V.,Marshall Wace LLP,0.91,NL0011872643,2024-04-02,archive
Koninklijke Philips N.V.,Marshall Wace LLP,0.88,NL0000009538,2024-04-02,archive
Alfen N.V.,Millennium International Management LP,1.64,NL0012817175,2024-04-02,archive
Alfen N.V.,"PDT Partners, LLC",0.62,NL0012817175,2024-04-02,archive
Alfen N.V.,Qube Research & Technologies Ltd.,1.83,NL0012817175,2024-04-02,archive
Aperam S.A.,Qube Research & Technologies Ltd.,0.46,LU0569974404,2024-04-02,archive
Ebusco Holding N.V.,Qube Research & Technologies Ltd.,0.5,NL0015000CZ2,2024-04-02,archive
NX Filtration N.V.,Otus Capital Management Ltd.,0.64,NL0015000D50,2024-03-28,archive
Flow Traders Ltd.,Qube Research & Technologies Ltd.,0.75,BMG3602E1084,2024-03-28,archive
OCI N.V.,Qube Research & Technologies Ltd.,0.69,NL0010558797,2024-03-28,archive
SBM Offshore N.V.,Qube Research & Technologies Ltd.,0.54,NL0000360618,2024-03-28,archive
Alfen N.V.,Qube Research & Technologies Ltd.,1.6,NL0012817175,2024-03-27,archive
BE Semiconductor Industries N.V.,GLG Partners LP,0.57,NL0012866412,2024-03-26,archive
Van Lanschot Kempen N.V.,Marshall Wace LLP,0.49,NL0000302636,2024-03-26,archive
Flow Traders Ltd.,Qube Research & Technologies Ltd.,0.63,BMG3602E1084,2024-03-26,archive
OCI N.V.,Qube Research & Technologies Ltd.,0.7,NL0010558797,2024-03-26,archive
Fugro N.V.,TFG Asset Management UK LLP,0.55,NL0000352565,2024-03-26,archive
