issuer_name,position_holder,net_short_position,isin,position_date,source
Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",1.06,NL0011872650,2026-04-20,current
Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,1.45,NL00150003E1,2026-04-20,current
Basic-Fit N.V.,Linden Advisors LP,0.7,NL0011872650,2026-04-20,current
Akzo Nobel N.V.,"O'Connor Alternative Investments, LLC",1.16,NL0013267909,2026-04-20,current
CVC Capital Partners plc,Qube Research & Technologies Ltd.,1.01,JE00BRX98089,2026-04-20,current
Alfen N.V.,Voleon Capital Management LP,1.58,NL0012817175,2026-04-20,current
ARCADIS N.V.,White Creek Capital LLP,0.57,NL0006237562,2026-04-20,current
Alfen N.V.,"WorldQuant, LLC",2.67,NL0012817175,2026-04-20,current
IMCD N.V.,"BlackRock Financial Management, Inc.",0.89,NL0010801007,2026-04-17,current
IMCD N.V.,Citadel Advisors LLC,0.53,NL0010801007,2026-04-17,current
Randstad N.V.,Citadel Advisors LLC,0.5,NL0000379121,2026-04-17,current
Signify N.V.,Citadel Advisors LLC,2.22,NL0011821392,2026-04-17,current
Sligro Food Group N.V.,Citadel Advisors LLC,0.71,NL0000817179,2026-04-17,current
Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",1.12,NL0011872650,2026-04-17,current
Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.41,NL0013267909,2026-04-17,current
Basic-Fit N.V.,Fosse Capital Partners LLP,1.02,NL0011872650,2026-04-17,current
Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,1.06,NL00150003E1,2026-04-17,current
IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,0.91,NL0010801007,2026-04-17,current
TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.22,NL0013332471,2026-04-17,current
Basic-Fit N.V.,Linden Advisors LP,0.59,NL0011872650,2026-04-17,current
IMCD N.V.,Marshall Wace LLP,0.65,NL0010801007,2026-04-17,current
PostNL N.V.,Marshall Wace LLP,0.81,NL0009739416,2026-04-17,current
Signify N.V.,"PDT Partners, LLC",0.9,NL0011821392,2026-04-17,current
Basic-Fit N.V.,Sculptor Capital Management Europe Limited,0.6,NL0011872650,2026-04-17,current
InPost S.A.,"Two Sigma Investments, LP",1.47,LU2290522684,2026-04-17,current
The Magnum Ice Cream Company N.V.,Walleye Capital LLC,0.62,NL0015002MS2,2026-04-17,current
IMCD N.V.,"WorldQuant, LLC",0.66,NL0010801007,2026-04-17,current
IMCD N.V.,Acadian Asset Management LLC.,0.69,NL0010801007,2026-04-16,current
Akzo Nobel N.V.,AKO Capital LLP,1.07,NL0013267909,2026-04-16,current
Adyen N.V.,"AQR Capital Management, LLC",1.3,NL0012969182,2026-04-16,current
Universal Music Group N.V.,"AQR Capital Management, LLC",0.58,NL0015000IY2,2026-04-16,current
Signify N.V.,Citadel Advisors LLC,2.32,NL0011821392,2026-04-16,current
Alfen N.V.,"D. E. Shaw & Co., L.P.",0.78,NL0012817175,2026-04-16,current
IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,0.85,NL0010801007,2026-04-16,current
The Magnum Ice Cream Company N.V.,JPMorgan Asset Management (UK) Ltd.,0.58,NL0015002MS2,2026-04-16,current
Pharming Group N.V.,Lazard Asset Management LLC,1.18,NL0010391025,2026-04-16,current
IMCD N.V.,Marshall Wace LLP,0.52,NL0010801007,2026-04-16,current
Signify N.V.,Millennium Capital (DIFC) Limited,0.79,NL0011821392,2026-04-16,current
Alfen N.V.,Voleon Capital Management LP,1.79,NL0012817175,2026-04-16,current
Alfen N.V.,"WorldQuant, LLC",2.75,NL0012817175,2026-04-16,current
Akzo Nobel N.V.,AKO Capital LLP,1.41,NL0013267909,2026-04-15,current
Adyen N.V.,Capital Fund Management S.A.,0.68,NL0012969182,2026-04-15,current
DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,1.23,CH1216478797,2026-04-15,current
IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,0.76,NL0010801007,2026-04-15,current
Pharming Group N.V.,Lazard Asset Management LLC,1.2,NL0010391025,2026-04-15,current
Signify N.V.,Marshall Wace LLP,1.82,NL0011821392,2026-04-15,current
The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.15,NL0015002MS2,2026-04-15,current
Signify N.V.,Millennium Capital (DIFC) Limited,0.8,NL0011821392,2026-04-15,current
Theon International Plc,Qube Research & Technologies Ltd.,1.16,CY0200751713,2026-04-15,current
ARCADIS N.V.,Squarepoint Ops LLC,0.88,NL0006237562,2026-04-15,current
Alfen N.V.,Voleon Capital Management LP,1.89,NL0012817175,2026-04-15,current
IMCD N.V.,"BlackRock Financial Management, Inc.",0.97,NL0010801007,2026-04-14,current
Havas N.V.,Citadel Advisors LLC,0.51,NL0015002K83,2026-04-14,current
Basic-Fit N.V.,Fosse Capital Partners LLP,1.23,NL0011872650,2026-04-14,current
IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,0.66,NL0010801007,2026-04-14,current
The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.22,NL0015002MS2,2026-04-14,current
PostNL N.V.,"PDT Partners, LLC",0.5,NL0009739416,2026-04-14,current
Alfen N.V.,"WorldQuant, LLC",2.84,NL0012817175,2026-04-14,current
Adyen N.V.,"AQR Capital Management, LLC",1.21,NL0012969182,2026-04-13,current
ARCADIS N.V.,"AQR Capital Management, LLC",1.01,NL0006237562,2026-04-13,current
CVC Capital Partners plc,"AQR Capital Management, LLC",0.71,JE00BRX98089,2026-04-13,current
Sligro Food Group N.V.,Citadel Advisors LLC,0.61,NL0000817179,2026-04-13,current
IMCD N.V.,"PDT Partners, LLC",0.89,NL0010801007,2026-04-13,current
The Magnum Ice Cream Company N.V.,Walleye Capital LLC,0.5,NL0015002MS2,2026-04-13,current
ArcelorMittal S.A.,"AQR Capital Management, LLC",0.58,LU1598757687,2026-04-10,current
Alfen N.V.,"D. E. Shaw & Co., L.P.",0.89,NL0012817175,2026-04-10,current
Wolters Kluwer N.V.,"D. E. Shaw & Co., L.P.",0.8,NL0000395903,2026-04-10,current
The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.38,NL0015002MS2,2026-04-10,current
IMCD N.V.,"PDT Partners, LLC",0.9,NL0010801007,2026-04-10,current
Theon International Plc,Qube Research & Technologies Ltd.,1.22,CY0200751713,2026-04-10,current
Adyen N.V.,"AQR Capital Management, LLC",1.13,NL0012969182,2026-04-09,current
IMCD N.V.,"AQR Capital Management, LLC",0.51,NL0010801007,2026-04-09,current
Signify N.V.,Citadel Advisors LLC,2.42,NL0011821392,2026-04-09,current
DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,1.0,CH1216478797,2026-04-09,current
NSI N.V.,Numeric Investors LLC,0.71,NL0012365084,2026-04-09,current
IMCD N.V.,"PDT Partners, LLC",0.89,NL0010801007,2026-04-09,current
Aalberts N.V.,"AQR Capital Management, LLC",0.61,NL0000852564,2026-04-08,current
Signify N.V.,"AQR Capital Management, LLC",1.22,NL0011821392,2026-04-08,current
Signify N.V.,Citadel Advisors LLC,2.39,NL0011821392,2026-04-08,current
Alfen N.V.,"D. E. Shaw & Co., L.P.",0.95,NL0012817175,2026-04-08,current
Signify N.V.,Millennium Capital (DIFC) Limited,0.79,NL0011821392,2026-04-08,current
The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,0.5,NL0015002MS2,2026-04-08,current
IMCD N.V.,"Two Sigma Investments, LP",0.79,NL0010801007,2026-04-08,current
IMCD N.V.,"BlackRock Advisors, LLC",0.66,NL0010801007,2026-04-07,current
IMCD N.V.,"BlackRock Financial Management, Inc.",1.0,NL0010801007,2026-04-07,current
IMCD N.V.,Capital Fund Management S.A.,0.76,NL0010801007,2026-04-07,current
Signify N.V.,Citadel Advisors LLC,2.41,NL0011821392,2026-04-07,current
ARCADIS N.V.,"D. E. Shaw & Co., L.P.",0.69,NL0006237562,2026-04-07,current
The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.46,NL0015002MS2,2026-04-07,current
