issuer_name,net_short_position,position_date,isin,position_holder,source
PostNL N.V.,0.68,2021-09-10,NL0009739416,"WorldQuant, LLC",archive
ABN AMRO Bank NV,0.69,2021-09-09,NL0011540547,Marshall Wace LLP,archive
Eurocommercial Properties N.V.,0.29,2021-09-07,NL0000288876,Eleva Capital SAS,archive
Alfen N.V.,1.29,2021-09-07,NL0012817175,Marshall Wace LLP,archive
Pharming Group N.V.,0.59,2021-09-07,NL0010391025,"WorldQuant, LLC",archive
Koninklijke Vopak N.V.,0.7,2021-09-06,NL0009432491,Marshall Wace LLP,archive
PostNL N.V.,0.72,2021-09-06,NL0009739416,Marshall Wace LLP,archive
ABN AMRO Bank NV,0.78,2021-09-03,NL0011540547,Marshall Wace LLP,archive
PostNL N.V.,0.77,2021-09-03,NL0009739416,"WorldQuant, LLC",archive
CM.com N.V.,0.62,2021-09-02,NL0012747059,Highbridge Capital Management LLC,archive
Fugro N.V.,0.5,2021-09-01,NL00150003E1,"Arrowstreet Capital, Limited Partnership",archive
PostNL N.V.,0.62,2021-09-01,NL0009739416,Marshall Wace LLP,archive
PostNL N.V.,0.82,2021-09-01,NL0009739416,"WorldQuant, LLC",archive
AMG Critical Materials N.V.,0.49,2021-08-31,NL0000888691,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,0.5,2021-08-31,NL0000888691,"PDT Partners, LLC",archive
Alfen N.V.,1.32,2021-08-30,NL0012817175,Marshall Wace LLP,archive
PostNL N.V.,0.79,2021-08-30,NL0009739416,"WorldQuant, LLC",archive
Alfen N.V.,1.26,2021-08-27,NL0012817175,Marshall Wace LLP,archive
PostNL N.V.,0.54,2021-08-27,NL0009739416,Marshall Wace LLP,archive
Pharming Group N.V.,0.69,2021-08-27,NL0010391025,"WorldQuant, LLC",archive
ARCADIS N.V.,0.69,2021-08-25,NL0006237562,Lansdowne Partners (UK) LLP,archive
Alfen N.V.,1.0,2021-08-25,NL0012817175,Marshall Wace LLP,archive
AMG Critical Materials N.V.,0.49,2021-08-25,NL0000888691,"PDT Partners, LLC",archive
Basic-Fit N.V.,0.52,2021-08-24,NL0011872650,BNP Paribas S.A.,archive
AMG Critical Materials N.V.,0.99,2021-08-24,NL0000888691,Systematica Investments Limited,archive
Fugro N.V.,0.5,2021-08-23,NL00150003E1,Capital Fund Management S.A.,archive
AMG Critical Materials N.V.,0.56,2021-08-23,NL0000888691,Citadel Advisors LLC,archive
Basic-Fit N.V.,0.49,2021-08-20,NL0011872650,BNP Paribas S.A.,archive
AMG Critical Materials N.V.,1.02,2021-08-20,NL0000888691,Systematica Investments Limited,archive
AMG Critical Materials N.V.,0.47,2021-08-20,NL0000888691,"TGS Management Company, LLC",archive
