issuer_name,position_date,isin,position_holder,net_short_position,source
Aperam S.A.,2014-09-12,LU0569974404,BNP Paribas S.A.,0.47,archive
SBM Offshore N.V.,2014-09-11,NL0000360618,"AQR Capital Management, LLC",1.62,archive
Koninklijke BAM Groep N.V.,2014-09-10,NL0000337319,TT International,0.43,archive
Koninklijke BAM Groep N.V.,2014-09-09,NL0000337319,Marshall Wace LLP,2.81,archive
SBM Offshore N.V.,2014-09-09,NL0000360618,Marshall Wace LLP,0.85,archive
ArcelorMittal S.A.,2014-09-08,LU0323134006,Odey Asset Management LLP,0.49,archive
Fugro N.V.,2014-09-03,NL0000352565,"AQR Capital Management, LLC",1.24,archive
SBM Offshore N.V.,2014-09-03,NL0000360618,"AQR Capital Management, LLC",1.53,archive
Aperam S.A.,2014-09-03,LU0569974404,BNP Paribas S.A.,0.5,archive
Koninklijke BAM Groep N.V.,2014-09-03,NL0000337319,"Lucerne Capital Management, L.P.",0.51,archive
Fugro N.V.,2014-09-02,NL0000352565,Marshall Wace LLP,1.0,archive
SBM Offshore N.V.,2014-09-02,NL0000360618,Marshall Wace LLP,0.72,archive
Fugro N.V.,2014-08-29,NL0000352565,"AQR Capital Management, LLC",1.19,archive
Fugro N.V.,2014-08-29,NL0000352565,"BlackRock Institutional Trust Company, National Association",0.5,archive
Koninklijke Vopak N.V.,2014-08-29,NL0009432491,Fil Investment Services (UK) Limited,0.59,archive
Koninklijke BAM Groep N.V.,2014-08-28,NL0000337319,"Lucerne Capital Management, L.P.",0.65,archive
Koninklijke BAM Groep N.V.,2014-08-28,NL0000337319,Marshall Wace LLP,2.73,archive
SBM Offshore N.V.,2014-08-28,NL0000360618,Marshall Wace LLP,0.61,archive
SBM Offshore N.V.,2014-08-26,NL0000360618,Marshall Wace LLP,0.59,archive
SBM Offshore N.V.,2014-08-25,NL0000360618,Marshall Wace LLP,0.6,archive
Aperam S.A.,2014-08-22,LU0569974404,CQS (UK) LLP,1.72,archive
SBM Offshore N.V.,2014-08-21,NL0000360618,AKO Capital LLP,1.41,archive
SBM Offshore N.V.,2014-08-21,NL0000360618,Marshall Wace LLP,0.53,archive
SBM Offshore N.V.,2014-08-20,NL0000360618,AKO Capital LLP,1.08,archive
Aperam S.A.,2014-08-20,LU0569974404,BNP Paribas S.A.,0.49,archive
SBM Offshore N.V.,2014-08-20,NL0000360618,Marshall Wace LLP,0.63,archive
Koninklijke BAM Groep N.V.,2014-08-20,NL0000337319,TT International,0.51,archive
SBM Offshore N.V.,2014-08-18,NL0000360618,"AQR Capital Management, LLC",1.48,archive
SBM Offshore N.V.,2014-08-15,NL0000360618,"AQR Capital Management, LLC",1.5,archive
Fugro N.V.,2014-08-15,NL0000352565,Marshall Wace LLP,0.99,archive
Koninklijke BAM Groep N.V.,2014-08-15,NL0000337319,Marshall Wace LLP,2.6,archive
SBM Offshore N.V.,2014-08-15,NL0000360618,Marshall Wace LLP,0.54,archive
SBM Offshore N.V.,2014-08-14,NL0000360618,Egerton Capital (UK) LLP,0.57,archive
Koninklijke BAM Groep N.V.,2014-08-14,NL0000337319,Marshall Wace LLP,2.59,archive
Fugro N.V.,2014-08-13,NL0000352565,Adelphi Capital LLP,0.39,archive
Koninklijke BAM Groep N.V.,2014-08-13,NL0000337319,TT International,0.42,archive
Koninklijke BAM Groep N.V.,2014-08-13,NL0000337319,"WorldQuant, LLC",0.38,archive
Koninklijke BAM Groep N.V.,2014-08-12,NL0000337319,"Lucerne Capital Management, L.P.",0.54,archive
Fugro N.V.,2014-08-12,NL0000352565,Marshall Wace LLP,1.0,archive
Koninklijke BAM Groep N.V.,2014-08-12,NL0000337319,Marshall Wace LLP,2.64,archive
Koninklijke BAM Groep N.V.,2014-08-12,NL0000337319,"WorldQuant, LLC",0.55,archive
Aperam S.A.,2014-08-11,LU0569974404,CQS (UK) LLP,1.82,archive
Fugro N.V.,2014-08-11,NL0000352565,GAM Investment Management Lugano SA,0.6,archive
Koninklijke BAM Groep N.V.,2014-08-11,NL0000337319,"Lucerne Capital Management, L.P.",0.38,archive
Koninklijke BAM Groep N.V.,2014-08-11,NL0000337319,Marshall Wace LLP,2.54,archive
Koninklijke BAM Groep N.V.,2014-08-11,NL0000337319,"WorldQuant, LLC",0.67,archive
Koninklijke Vopak N.V.,2014-08-08,NL0009432491,Adelphi Capital LLP,0.6,archive
SBM Offshore N.V.,2014-08-08,NL0000360618,AKO Capital LLP,0.91,archive
Aperam S.A.,2014-08-08,LU0569974404,CQS (UK) LLP,1.75,archive
Koninklijke BAM Groep N.V.,2014-08-08,NL0000337319,"Lucerne Capital Management, L.P.",0.5,archive
Koninklijke BAM Groep N.V.,2014-08-08,NL0000337319,Marshall Wace LLP,2.19,archive
Koninklijke BAM Groep N.V.,2014-08-08,NL0000337319,"WorldQuant, LLC",0.8,archive
Fugro N.V.,2014-08-07,NL0000352565,"AQR Capital Management, LLC",1.29,archive
TomTom N.V.,2014-08-07,NL0000387058,"Discovery Capital Management, LLC",0.79,archive
Koninklijke BAM Groep N.V.,2014-08-07,NL0000337319,Marshall Wace LLP,1.8,archive
ArcelorMittal S.A.,2014-08-07,LU0323134006,Odey Asset Management LLP,0.5,archive
Koninklijke BAM Groep N.V.,2014-08-06,NL0000337319,Oxford Asset Management,0.62,archive
Koninklijke BAM Groep N.V.,2014-08-06,NL0000337319,"WorldQuant, LLC",0.72,archive
Koninklijke Vopak N.V.,2014-08-05,NL0009432491,Adelphi Capital LLP,0.51,archive
Fugro N.V.,2014-08-05,NL0000352565,GAM Investment Management Lugano SA,0.56,archive
ArcelorMittal S.A.,2014-08-04,LU0323134006,"Discovery Capital Management, LLC",0.46,archive
Koninklijke BAM Groep N.V.,2014-08-04,NL0000337319,"WorldQuant, LLC",0.62,archive
SBM Offshore N.V.,2014-08-01,NL0000360618,AKO Capital LLP,0.82,archive
Fugro N.V.,2014-08-01,NL0000352565,Marshall Wace LLP,0.9,archive
Koninklijke BAM Groep N.V.,2014-08-01,NL0000337319,Marshall Wace LLP,1.6,archive
SBM Offshore N.V.,2014-07-31,NL0000360618,AKO Capital LLP,0.74,archive
SBM Offshore N.V.,2014-07-31,NL0000360618,"AQR Capital Management, LLC",1.4,archive
Fugro N.V.,2014-07-31,NL0000352565,BlackRock Investment Management (UK) Limited,0.59,archive
Fugro N.V.,2014-07-31,NL0000352565,Marshall Wace LLP,0.86,archive
Koninklijke BAM Groep N.V.,2014-07-31,NL0000337319,Marshall Wace LLP,1.55,archive
Koninklijke BAM Groep N.V.,2014-07-31,NL0000337319,"WorldQuant, LLC",0.53,archive
Fugro N.V.,2014-07-30,NL0000352565,BlackRock Investment Management (UK) Limited,0.6,archive
Fugro N.V.,2014-07-30,NL0000352565,Marshall Wace LLP,0.79,archive
Koninklijke BAM Groep N.V.,2014-07-30,NL0000337319,Marshall Wace LLP,1.46,archive
Aperam S.A.,2014-07-25,LU0569974404,Adage Capital Management L.P.,2.72,archive
Aperam S.A.,2014-07-25,LU0569974404,BNP Paribas S.A.,0.57,archive
Aperam S.A.,2014-07-25,LU0569974404,CQS (UK) LLP,1.82,archive
Koninklijke BAM Groep N.V.,2014-07-25,NL0000337319,Marshall Wace LLP,1.31,archive
Aperam S.A.,2014-07-24,LU0569974404,BNP Paribas S.A.,0.62,archive
ArcelorMittal S.A.,2014-07-24,LU0323134006,"Discovery Capital Management, LLC",0.5,archive
SBM Offshore N.V.,2014-07-23,NL0000360618,"AQR Capital Management, LLC",1.32,archive
Fugro N.V.,2014-07-23,NL0000352565,BlackRock Investment Management (UK) Limited,0.84,archive
Koninklijke BAM Groep N.V.,2014-07-23,NL0000337319,Marshall Wace LLP,1.22,archive
Fugro N.V.,2014-07-22,NL0000352565,"AQR Capital Management, LLC",1.32,archive
Koninklijke BAM Groep N.V.,2014-07-22,NL0000337319,Marshall Wace LLP,1.1,archive
Koninklijke BAM Groep N.V.,2014-07-22,NL0000337319,TT International,0.72,archive
Koninklijke BAM Groep N.V.,2014-07-22,NL0000337319,"WorldQuant, LLC",0.44,archive
SBM Offshore N.V.,2014-07-21,NL0000360618,"AQR Capital Management, LLC",1.23,archive
Fugro N.V.,2014-07-18,NL0000352565,AKO Capital LLP,0.26,archive
Koninklijke BAM Groep N.V.,2014-07-18,NL0000337319,Marshall Wace LLP,1.08,archive
